CountyName,RecType,"Region-2 County-3 District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat,NCES ID
,,,,,,,,,,,,,,,,
,ROE,10000000,0,0,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Hon. Jill S. Reis,507 Vermont St,Quincy,62301 2920,217277-2080,7-12,94,47,18,1,1700162
,REGIONAL PRG,10000000,0,9201,The Lafayette Academy,Mr. Christopher Marshall,747 W Lafayette Ave,Jacksonville,62650 1832,217243-8438,9-12,100,50,18,A,170016703204
,REGIONAL PRG,10000000,0,9305,Adams County RSSP,Mrs. Cheryl Dreasler,1416 Maine St,Quincy,62301 4261,217228-7175,7-12,94,47,18,A,170016206022
,REGIONAL PRG,10000000,0,9306,Academic Behavior&Community Acad,Lori Miles,1416 Maine St,Quincy,62301 4261,217228-7175,7-12,94,47,18,A,170016206156
,REGIONAL PRG,10000000,0,9308,PACE Alternative School,Tony Fesler,328 N Illinois St,Pittsfield,62363 1557,217285-2248,6-12,100,50,18,A,170016206163
,REGIONAL PRG,10000000,0,9309,ARC,Mr. Christopher Marshall,747 W Lafayette Ave,Jacksonville,62650 1832,217243-8438,6-12,100,50,18,A,170016703208
,ROE,30000000,0,0,Bond/Christian/Effingham/Fayette/Montgomery ROE,Hon. Julie R Wollerman,1500 W Jefferson St,Vandalia,62471 1510,618283-5011,6-12,107,54,15,1,1700165
,REGIONAL PRG,30000000,0,9201,New Approach Alternative High Sch,Ms. Laura Benhoff,1500 W Jefferson St,Vandalia,62471 1510,618283-9311,9-12,115,58,12,A,170016502272
,REGIONAL PRG,30000000,0,9202,Aspire Alternative High School,Ms. Amber Kidd,900 W Edgar Ave,Effingham,62401 1933,217342-2865,9-12,107,54,15,A,170016505759
,REGIONAL PRG,30000000,0,9301,FOCUS Safe Sch Program,Ms. Laura Benhoff,1500 W Jefferson St,Vandalia,62471 1510,618283-9311,6-9,107,54,15,A,170016502287
,REGIONAL PRG,30000000,0,9302,Tristar Acad Safe Sch Program,Ms. Amber Kidd,900 W Edgar Ave,Effingham,62401 1933,217342-2865,6-9,107,54,15,A,170016504627
,REGIONAL PRG,30000000,0,9304,Chrismont Safe School,Mrs. Casey Adam,316 E South St,Nokomis,62075 1300,217563-7600,6-12,95,48,13,A,170017202368
,ROE,40000000,0,0,Boone/Winnebago ROE,Dr. Lori Fanello,300 Heart Blvd,Loves Park,61111 7516,815636-3060,6-12,68,34,16,1,1700166
,REGIONAL PRG,40000000,0,9201,Reg'l Learning Center Star Winn,Mr. Harold Sweeney,5949 Safford Rd,Rockford,61101 2276,815227-8495,9-12,68,34,17,A,170016602313
,REGIONAL PRG,40000000,0,9202,Reg'l Learning Center Star Boone,Mr. Harold Sweeney,1320 East Ave,Belvidere,61008 4559,815547-8080,9-12,70,35,16,A,170016602335
,REGIONAL PRG,40000000,0,9301,Reg'l Learning Academy Star Winn,Mr. David Sanders,5949 Safford Rd,Rockford,61101 2276,815227-8495,6-11,68,34,17,A,170016602338
,REGIONAL PRG,40000000,0,9302,Regl Learning Academy Star Boone,Mr. David Sanders,1320 East Ave,Belvidere,61008 4559,815544-8080,6-12,70,35,16,A,170016606300
,REGIONAL PRG,40000000,0,9501,Regional Alternative School,Mr. Harold Sweeney,5949 Safford Rd,Rockford,61101 2276,815227-8495,9-12,68,34,17,A,170016605647
,ROE,50000000,0,0,Region 05 North Cook ISC 1,Dr. Bruce Brown,2340 S River Rd Ste 414,Des Plaines,60018 3225,847824-8300,6-12,55,28,9,1,1700220
,REGIONAL PRG,50000000,0,9301,North Cook Young Adult Academy,Mrs. Lisa Fornwald,2340 S River Rd,Des Plaines,60018 3212,847824-8300,6-12,55,28,9,A,170022003951
,ROE,60000000,0,0,Region 06 West Cook ISC 2,Dr. Mark A Klaisner,4413 Roosevelt Rd Ste 104,Hillside,60162 2057,708449-4284,6-12,7,4,4,1,1700221
,REGIONAL PRG,60000000,0,9301,West 40 Reg Safe Sch Middle Prg,Ms. Karen Tiemann,605 N Hillside Ave,Hillside,60162 1037,708236-3250,6-8,7,4,7,A,170022104691
,REGIONAL PRG,60000000,0,9302,Harbor Academy Reg Safe Sch Prg,Mrs. Tammy Raffen,605 N Hillside Ave,Hillside,60162 1037,708236-3250,9-12,7,4,7,A,170022104694
,REGIONAL PRG,60000000,0,9303,Morton Alternative Schools,Mr. Erin Kelly,1874 S 54th Ave,Cicero,60804 1814,708222-3080,9-12,23,12,4,A,170022104700
,REGIONAL PRG,60000000,0,9501,West 40 ALOP Achievers,Mr. Steve Bogren,9857 Schiller Blvd,Franklin Park,60131 2662,847455-2435,9-12,78,39,5,A,170022106162
,REGIONAL PRG,60000000,0,9502,West 40-Sr. Plus,Mr. Steve Lehman,4413 W Roosevelt Rd,Hillside,60162,708449-4284,,7,4,7,A,170022106161
,REGIONAL PRG,60000000,0,9503,ALOP Academic Learning Program,Dr. Steven Isoye,201 Scoville Ave,Oak Park,60302,708383-0700,9-12,78,39,7,A,170022106212
,REGIONAL PRG,60000000,0,9504,Proviso THSD 209 Dream School,Mr. Dan Johnson,8601 Roosevelt Rd,Forest Park,60130 2532,708338-5938,9-12,7,4,7,A,170022106319
,REGIONAL PRG,60000000,0,9505,TAPESTRY ALOP,Mr. Steven G. Lehman,4413 Roosevelt Rd,Hillside,60162 2074,708449-4284,9-12,7,4,4,A,
,ROE,70000000,0,0,Region 07 South Cook ISC 4,Dr. Vanessa J Kinder,253 W Joe Orr Rd,Chicago Heights,60411 1744,708754-6600,6-12,80,40,2,1,1700188
,REGIONAL PRG,70000000,0,9301,Safe School Program,Dr. Vanessa J Kinder,405 Ashland Ave,Chicago Heights,60411 1634,708754-6600,6-12,80,40,2,A,170018802593
,REGIONAL PRG,70000000,0,9304,Regl Inst Scholastic Excellence,Dr. Vanessa J Kinder,11218 S Ridgeland Ave,Worth,60482 1970,708671-0935,6-12,35,18,3,A,170018806165
,ROE,80000000,0,0,Carroll/Jo Daviess/Stephenson ROE,Hon. Aaron Mercier,27 S State Ave Ste 101,Freeport,61032 4210,815599-1408,6-12,89,45,17,1,1700170
,REGIONAL PRG,80000000,0,9201,Freeport Alternative High Sch,Mrs. Dana Dinderman,1330 S Locust Ave,Freeport,61032 6325,815233-0796,6-12,89,45,17,A,170017005649
,REGIONAL PRG,80000000,0,9301,RAP Freeport,Mr. Brent Chrisman,27 S State Ave,Freeport,61032 4210,815599-1408,6-12,89,45,17,A,170017002342
,REGIONAL PRG,80000000,0,9302,RAP Elizabeth,Mr. Aaron Mercier,950 US Highway 20 W,Elizabeth,61028 9333,815599-1408,6-12,89,45,17,A,170017004640
,ROE,90000000,0,0,Champaign/Ford ROE,Hon. Jane Quinlan,3358 Big Pine Trail,Champaign,61822 1406,217893-3219,6-12,104,52,15,1,1700171
,REGIONAL PRG,90000000,0,9202,Juvenile Detention Center,Ms. Donna Kaufman,400 Art Bartell Rd,Urbana,61802 2879,217384-3780,6-11,103,52,13,A,170017103882
,REGIONAL PRG,90000000,0,9301,R E A D Y Program,Ms. Donna Kaufman,45 E University Ave,Champaign,61820 4076,217239-0322,6-12,103,52,13,A,170017102351
,ROE,110000000,0,0,Clk/Cls/Cmbn/Dglas/Edgr/Mltr/Shlb,Hon. Bobbi Mattingly,730 7th St,Charleston,61920 2101,217348-0151,6-12,110,55,15,1,1700175
,REGIONAL PRG,110000000,0,9201,Pathways  ROE 11,Mr. Dirk Muffler,305 Richmond Ave E,Mattoon,61938 4518,217238-8383,9-12,110,55,15,A,170017502384
