CountyName,RecType,"Region-2 County-3 District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat
,,,,,,,,,,,,,,,
Adams,Non Pub Sch,01001002X,6,0,St James Lutheran,Mr. Nathan L Landskroener,900 S 17th St,Quincy,62301 5542,217222-8267,P-8,94,47,18,3
Adams,Non Pub Sch,01001005X,10,0,St Dominic School,Mrs. Susan E Kelley,4100 Columbus Rd,Quincy,62305 4715,217224-0041,P-8,94,47,18,3
Adams,Non Pub Sch,01001006X,10,0,St Francis Solanus,Ms. Lori L Shepard,1720 College Ave,Quincy,62301 2641,217222-4077,P-8,94,47,18,3
Adams,Non Pub Sch,01001007X,10,0,Blessed Sacrament Catholic School,Christie Dickens,1115 S 7th St,Quincy,62301 5369,217228-1477,P-8,94,47,18,3
Adams,Non Pub Sch,01001009X,10,0,St Peter School,Mrs. Cindy Venvertloh,2500 Maine St,Quincy,62301 4404,217223-1120,P-8,94,47,18,3
Adams,Non Pub Sch,01001012Y,10,0,Quincy Notre Dame High School,Mr. Mark McDowell,1400 S 11th St,Quincy,62301 7252,217223-2479,9-12,94,47,18,3
Adams,Non Pub Sch,01001021S,19,0,Transitions of Western IL,Mr. J Michael Rein,PO Box 3646,Quincy,62305 3646,217223-0413,"K,2,6,8-9,11-12",94,47,18,3
Adams,Non Pub Sch,01001025Z,26,0,Quincy Christian School,Mr. Randy Peterson,PO Box 3643,Quincy,62305 3643,217223-5698,P-12,94,47,18,3
Brown,Non Pub Sch,01005001X,10,0,St Mary School,Martha Hogge,408 W Washington St,Mount Sterling,62353 1023,217773-2825,P-8,93,47,18,3
Cass,Non Pub Sch,01009002X,6,0,Trinity Lutheran,Ms. Lynne Schone,PO Box 118,Arenzville,62611 0118,217997-5535,P-6,93,47,18,3
Cass,Non Pub Sch,01009003Z,26,0,Beardstown Christian Academy,Mr. Jeremy Norton,1421 Beard St,Beardstown,62618 1773,217323-1685,P-8,93,47,18,3
Morgan,Non Pub Sch,01069003X,10,0,Our Saviour School,Mrs. Stephanie VanDeVelde,455 E State St,Jacksonville,62650 2125,217243-8621,P-8,100,50,18,3
Morgan,Non Pub Sch,01069004Y,10,0,Routt Catholic High School,Mr. Nick W Roscetti,500 E College Ave,Jacksonville,62650 2524,217243-8563,9-12,100,50,18,3
Morgan,Non Pub Sch,01069005X,6,0,Salem Lutheran,Mrs. Lisa Aring,222 E Beecher Ave,Jacksonville,62650 2513,217243-3419,P-8,100,50,18,3
Morgan,Non Pub Sch,01069007Z,2,0,Westfair Christian Academy,Randy Cooper,14 Clarke Dr,Jacksonville,62650 1702,217243-7100,P-12,100,50,18,3
Morgan,Non Pub Sch,01069018S,19,0,Pathway Services Unlimited,Nancy Logsdon,1905 W Morton Ave,Jacksonville,62650 2620,217271-1552,K-12,100,50,18,3
Pike,Non Pub Sch,01075001X,14,0,Pike County Christian Academy,Rev. Jim Jacques,PO Box 72,Pittsfield,62363 0072,217285-5722,K-12,100,50,18,3
Christian,Non Pub Sch,03011001X,10,0,Sacred Heart,Mrs. Terry Trader,3 E 4th St,Pana,62557 1601,217562-2425,P-8,95,48,13,3
Christian,Non Pub Sch,03011003Z,2,0,First Baptist Christian Academy,Larry Gruis,114 Maple St,Pana,62557 1457,217562-5054,P-12,95,48,13,3
