CountyName,RecType,"Region-2 County-3 District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat
,,,,,,,,,,,,,,,
Adams,Dist,10010038,0,0,Chaddock,Debbie Reed,205 S 24th St,Quincy,62301 4446,217222-0034,,94,47,18,C
Adams,School,10010038,0,410,Chaddock,Jerry A Douglas,205 S 24th St,Quincy,62301 4446,217222-0034,,94,47,18,D
Adams,School,10010038,0,448,Chaddock-Group Home,Jerry A Douglas,205 S 24th St,Quincy,62301 4446,217222-0034,,94,47,18,D
Adams,School,10010038,0,449,Chaddock-Independent Living,Jerry A Douglas,205 S 24th St,Quincy,62301 4446,217222-0034,,94,47,18,D
Adams,School,10010038,0,488,Chaddock-Integrated Attachment,Jerry Douglas,205 S 24th St,Quincy,62301 4446,217222-0034,,94,47,18,D
Adams,School,10010038,0,594,Chaddock- Extended,Jerry A Douglas,205 S 24th St,Quincy,62301 4446,217222-0034,,,,,D
Adams,Dist,10010224,0,0,Transitions of Western Illinois,J Michael Rein,4409 Maine St,Quincy,62305 5849,217223-0413,,94,47,18,C
Adams,School,10010224,0,205,Transitions School,Kelle Schlueter,732 Hampshire St,Quincy,62301 3014,217223-9694,,94,47,18,D
Adams,School,10010224,0,279,Transitions School - Intensive,Lynn A Priepot,PO Box 3646,Quincy,62305 3646,217223-9694,,94,47,18,D
Morgan,Dist,10690171,0,0,Pathway Services Unlimited,Stephen Brundage,1905 W Morton Ave,Jacksonville,62650 2620,217479-2336,,100,50,18,C
Morgan,School,10690171,0,188,Pathway Services Unlimited,Nancy Logsdon,1905 W Morton Ave,Jacksonville,62650 2620,217271-1552,,100,50,18,D
Morgan,School,10690171,0,322,Pathway Services Unlimited Int,Nancy Logsdon,1905 W Morton Ave,Jacksonville,62650 2620,217271-1552,,,,,D
Christian,Dist,30110174,0,0,Presbyterian Church USA,Michael Havera,941 N 2500 East Rd,Assumption,62510 8026,309923-3681,,95,48,13,C
Christian,School,30110174,0,481,Kemmerer Village,Joanne Coady,941 N 2500 East Rd,Assumption,62510 8026,217226-2139,,95,48,13,D
Winnebago,Dist,41010182,0,0,Universal Health Svcs. Rockford,Tony Wilson,3445 Elmwood Rd,Rockford,61101 9529,815282-7709,,68,34,16,C
Winnebago,Dist,41010297,0,0,Goldie B Floberg Center,John Pingo,58 W Rockton Rd,Rockton,61072 1631,815624-8431,,69,35,16,C
Winnebago,School,41010297,0,564,Goldie Floberg Center-Anee House,Erin Ivancich,1015 Anee Dr,Rockford,61108 4387,779423-0418,,68,34,16,D
Winnebago,School,41010297,0,575,Goldie B Floberg - Colchester,John Pingo,8326 Colchester Dr,Machesney Park,61115 7944,779423-0739,,68,34,16,D
Winnebago,School,41010297,0,577,Goldie B Floberg - Grayling,John Pingo,424 Grayling Dr,Rockford,61107 5333,815580-8232,,69,35,16,D
Winnebago,School,41010297,0,578,Goldie B Floberg-Upper Ridge Way,John Pingo,6115 Upper Ridge Way,Roscoe,61073 8310,815270-0688,,68,34,16,D
Cook,Dist,50160004,0,0,Alexander Graham Bell Montessori,Debra Trude Suter,9300 Capitol Dr,Wheeling,60090 7207,847850-5490,,57,29,10,C
Cook,School,50160004,0,81,Alexander Graham Bell Montessori,Ms. Karla Giese,9300 Capitol Dr,Wheeling,60090 7207,847850-5490,,57,29,10,D
Cook,School,50160004,0,370,Alexander Graham Bell Mont. INT,Karla Giese,9300 Capitol Dr,Wheeling,60090 7207,847850-5490,,,,,D
Cook,Dist,50160011,0,0,Arlyn Day School,Judith Goldstein,3013 Illinois Rd,Wilmette,60091 1118,847256-7117,,17,9,9,C
Cook,School,50160011,0,25,Arlyn Day School,Judith Goldstein,3013 Illinois Rd,Wilmette,60091 1118,847256-7117,,17,9,9,D
Cook,School,50160011,0,184,Arlyn Transition Program,Judith Goldstein,3013 Illinois Rd,Wilmette,60091 1118,847256-7117,,17,9,9,D
Cook,School,50160011,0,186,Arlyn Day School - Extended,Judith Goldstein,3013 Illinois Rd,Wilmette,60091 1118,847256-7117,,17,9,9,D
Cook,School,50160011,0,335,Arlyn Transition Program Int,Judith Goldstein,3013 Illinois Rd,Wilmette,60091 1118,847256-7117,,17,9,9,D
Cook,Dist,50160013,0,0,Arthur E Welby Hall,Michael Biskupski,2101 Oakton St,Park Ridge,60068 1819,847696-3315,,20,10,9,C
Cook,School,50160013,0,524,Arthur E Welby Hall,Michael Biskupski,2101 Oakton St,Park Ridge,60068 1819,847696-3315,,20,10,9,D
Cook,Dist,50160024,0,0,Bridge View Day School,Chris Raspante,6935 W Touhy Ave,Niles,60714 4521,847588-2038,,15,8,9,C
Cook,School,50160024,0,33,Bridge View Day School,Chris Raspante,6935 W Touhy Ave,Niles,60714 4521,847588-2038,,15,8,9,D
Cook,Dist,50160034,0,0,Center on Deafness,Bonita Simon,3444 Dundee Rd,Northbrook,60062 2201,847559-0110,,58,29,10,C
Cook,School,50160034,0,37,Centerview Therapeutic-Day,Joyce Zimmerman,3444 Dundee Rd,Northbrook,60062 2201,847559-0110,,58,29,10,D
Cook,School,50160034,0,254,Centerview Therapeutic-Day-Int,Joyce Zimmerman,3667 Salem Walk,Northbrook,60062 2201,847559-0110,,58,29,10,D
Cook,School,50160034,0,464,Centerview Therapeutic,Joyce Zimmerman,3667 Salem Walk,Northbrook,60062 2201,847559-0110,,58,29,10,D
Cook,School,50160034,0,543,Centerview Therapeutic-Res-Int,Joyce Zimmerman,3667 Salem Walk,Northbrook,60062 8532,847559-0110,,57,29,10,D
Cook,Dist,50160039,0,0,Challenger Day School,Chris Raspante,6935 W Touhy Ave,Niles,60714 4521,847588-2038,,15,8,9,C
Cook,School,50160039,0,92,Challenger Day School,Chris Raspante,6935 W Touhy Ave,Niles,60714 4521,847588-2038,,15,8,9,D
Cook,Dist,50160040,0,0,Ombudsman Educational Services,Lori Smith,1585 N Milwaukee Ave,Libertyville,60048 1359,847367-6383,,51,26,10,C
Cook,School,50160040,0,54,Lyons Plus,Mary Polk,6535 Joliet Rd,Countryside,60525 4650,708482-0209,,31,16,3,D
Cook,School,50160040,0,339,DuPage Glenbard Plus,Jan Donovan,105 W Army Trail Blvd,Addison,60101 3502,630359-3553,,77,39,8,D
Cook,School,50160040,0,365,Lake County Plus Program,Mr. Timothy Burns,706 E Hawley St,Mundelein,60060 1946,847232-4751,,,,,D
Cook,Dist,50160063,0,0,Cove School,Dr. Sally Sover,350 Lee Rd,Northbrook,60062 1521,847562-2100,,58,29,10,C
Cook,School,50160063,0,84,Cove School,Dr. Sally Sover,350 Lee Rd,Northbrook,60062 1521,847562-2100,,58,29,10,D
