CountyName,RecType,"Region-2 County-3 District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat,NCES ID
,,,,,,,,,,,,,,,,
Adams,Dist,010011720,61,6100,Spec Educ Assoc of Adams County,Eryn Beswick,1416 Maine St,Quincy,62301 4261,217223-8700,,94,47,18,6,1736920
Morgan,Dist,010698010,60,6000,Four Rivers Spec Educ Dist,Ms. Christiane Pennell,936 W Michigan Ave,Jacksonville,62650 3113,217245-7174,3-12,100,50,18,6,1700080
Morgan,Coop (Sch),010698010,60,6001,Educational Daycare,Ms. Christiane Pennell,330 W Michigan Ave,Jacksonville,62650 3223,217245-7174,,,,,7,(Pending)
Morgan,Coop (Sch),010698010,60,6008,Ivan K Garrison Center,Rhonda Massey,936 W Michigan Ave,Jacksonville,62650 3113,217245-7174,3-12,100,50,18,7,170008005349
Christian,Dist,030118010,60,6000,Mid-State Spec Educ Jnt Agr,Ms. Angela Armour,PO Box 46,Morrisonville,62546 0046,217526-8121,,95,48,13,6,1700201
Boone,Dist,040041000,61,6100,Boone County Spec Educ Coop,Mr. Matthew Ross,1201 5th Ave,Belvidere,61008 5125,815547-4309,P,69,35,16,6,1700018
Boone,Coop (Sch),040041000,61,6101,Boone County Center,Steve Simard,1320 East Ave,Belvidere,61008 4559,815544-9851,P,70,35,16,7,170001804538
Winnebago,Dist,041011400,61,6100,Winnebago County Spec Educ Coop,Ms. Kimberly Moore,11971 Wagon Wheel Rd,Rockton,61072 3322,815624-2615,,69,35,16,6,1742810
Cook,Dist,050160390,61,6100,Wilmette Community Sp Ed Agreement,Denise Thrasher,615 Locust Rd,Wilmette,60091 2237,847256-2450,,17,9,9,6,1701391
Cook,Dist,050160650,61,6100,Evanston Dists 65/202 Jnt Agr,Dr. Paul D Goren,1500 McDaniel Ave,Evanston,60201 3976,847492-5986,,18,9,9,6,1700246
Cook,Coop (Sch),050160650,61,6101,Park School,Marlene Grossman,828 Main St,Evanston,60202 1706,847859-8590,,18,9,9,7,170024604578
Cook,Dist,050168050,60,6000,NW Suburban Spec Educ Org,Judith A Hackett,799 W Kensington Rd,Mt Prospect,60056 1111,847463-8100,,53,27,9,6,1700032
Cook,Coop (Sch),050168050,60,6002,Kirk School,Kim Dungan,520 S Plum Grove Rd,Palatine,60067 6933,847463-8500,,54,27,6,7,170003205094
Cook,Coop (Sch),050168050,60,6004,Miner School,Mr. Hassan Von Schlegell,1101 E Miner St,Arlington Heights,60004 6337,847463-8400,,53,27,9,7,170003205095
Cook,Coop (Sch),050168050,60,6010,James Whitcomb Riley School,Carrie McCulley,1209 E Burr Oak Dr,Arlington Heights,60004 1660,847670-3400,,53,27,8,7,170003201603
Cook,Coop (Sch),050168050,60,6012,Timber Ridge School,Hassan Von Schlegell,201 S Evanston Ave,Arlington Heights,60004 6832,847463-8300,,53,27,9,7,170003203950
Cook,Coop (Sch),050168050,60,6013,Deaf/Hard of Hearing (Dist 62),Sheryl Goldman,1375 S 5th Ave,Des Plaines,60018 1430,847463-8174,,55,28,9,7,170003206204
Cook,Coop (Sch),050168050,60,6014,Deaf/Hard of Hearing (Dist 23),Sheryl Goldman,700 N Schoenbeck Rd,Prospect Heights,60070 1231,847463-8174,,53,27,9,7,170003206216
Cook,Coop (Sch),050168050,60,6015,Deaf/Hard of Hearing (Dist 214),Sheryl Goldman,1900 E Thomas St,Arlington Heights,60004 4320,847463-8174,,53,27,9,7,170003206222
