CountyName,RecType,"Region-2 County-3 District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat,NCES ID
,,,,,,,,,,,,,,,,
Adams,Voc Tech,10011720,41,4100,Quincy Area Voc Ctr,Mark Pfleiger,219 Baldwin Dr,Quincy,62301 4430,217224-3775,11-12,94,47,18,9,1700012
Adams,Voc Tech,10011720,46,4600,West Central Regional System,Mr. Mark Pfleiger,219 Baldwin Dr,Quincy,62301 4430,217224-3775,9-12,94,47,18,9,1700231
Cass,Voc Tech,10097000,45,4500,Two Rivers Career Educ System,Mr. Reggie Clinton,651 S Morgan St Rm 119,Virginia,62691 1547,217323-4711,9-12,93,47,18,9,1700293
Fayette,Voc Tech,30262030,41,4100,Okaw Area Vocational Center,Nick Casey,1109 N 8th St,Vandalia,62471 1240,618283-5150,11-12,107,54,15,9,1700017
Fayette,Voc Tech,30267410,45,4500,Bond Fayette Effingham EFE 410,Nick Casey,1109 N 8th St,Vandalia,62471 1240,618283-2008,,107,54,15,9,1700234
,Voc Tech,40000000,46,4600,Career Educ Assoc of N Central IL,Marjorie Hartfiel,4151 Samuelson Rd,Rockford,61109 3272,815921-1650,9-12,67,34,16,9,1700235
Cook,Voc Tech,50162070,46,4600,North Suburban Educ Reg for Voc,Martha Eldredge Stark,1131 S Dee Rd,Park Ridge,60068 4379,847692-8023,9-12,55,28,9,9,1700250
Cook,Voc Tech,50162140,46,4600,Northwest Educational Council for Student Success,Gayle W Banakis,2121 S Goebbert Rd,Arlington Heights,60005 4205,847718-6803,9-12,53,27,8,9,1700317
Cook,Voc Tech,60162010,46,4600,Morton Regional Del Sys,Eric Mastey,2400 Home Ave,Berwyn,60402 2110,708780-4100,9-12,23,12,4,9,1700248
Cook,Voc Tech,60162120,46,4600,Des Plaines Valley EFE,Dr. Anne Cothran,2000 5th Ave M100,River Grove,60171 1907,708779-4448,9-12,78,39,5,9,1701394
Cook,Voc Tech,70162180,46,4600,Moraine Area Career System,Debra Canna,4625 W 107th St,Oak Lawn,60453 5865,708422-6230,9-12,36,18,3,9,1700252
Cook,Voc Tech,70162280,46,4600,Career Development System,Carol Brooks,16333 Kilbourne Ave,Oak Forest,60452 4601,708225-6023,9-12,30,15,1,9,1700249
Cook,Voc Tech,70167900,45,4500,Career Preparation Network,Janice Stoettner,202 S Halsted St,Chicago Heights,60411 8200,708709-7905,9-12,80,40,2,9,
,Voc Tech,80000000,46,4600,Eagle Ridge Vocational Del Sys,Nancy Jogerst,950 US Highway 20 W,Elizabeth,61028 9333,815858-2203,9-12,89,45,17,9,1700236
Jo Daviess,Voc Tech,80437900,40,4000,Jo Daviess Carroll CTE Academy,Nancy Jogerst,950 US Highway 20 W,Elizabeth,61028 9333,815858-2203,11-12,89,45,17,9,1700237
Stephenson,Voc Tech,80897230,45,4500,Career & Tech Educ Consortium,Jennifer Newendyke,2037 W Galena Ave,Freeport,61032 3004,815232-0709,9-12,89,45,17,9,1700238
Champaign,Voc Tech,90100080,46,4600,Educ for Employment Sys 330,Nick Elder,2400 W Bradley Ave # A113,Champaign,61821 1806,217355-1382,9-12,103,52,13,9,1700313
Coles,Voc Tech,110157350,45,4500,Eastern IL EFE System,Laura Sullivan,1617 Lake Land Blvd,Mattoon,61938 5915,217258-6283,9-12,110,55,15,9,1700242
,Voc Tech,120000000,46,4600,Twin Rivers Career & Tech Ed Sys,Troy Hickey,301 S Cross St Ste 235,Robinson,62454 2155,618544-8664,9-12,110,55,15,9,1700243
Clay,Voc Tech,120130350,46,4600,Clay/Jasper/Richland/N Wayne RDS,Mary Beth Stine,600 S Locust St,Flora,62839 2174,618662-4059,,109,55,15,9,1700244
,Voc Tech,130000000,41,4100,Mt Vernon Area Voc Center,Robert Knutson,11101 N Wells Bypass Rd,Mount Vernon,62864 6588,618246-5602,11-12,115,58,12,9,1700269
