SCHOOL_ID,SCHOOL_SHORT_NAME,RCDTS_CODE
400010,ACE TECH HS,15016299025009C
400153,ACERO - BRIGHTON PARK,15016299025270C
400101,ACERO - CISNEROS,15016299025266C
400120,ACERO - CLEMENTE,15016299025268C
400121,ACERO - DE LA CRUZ,15016299025269C
400081,ACERO - DE LAS CASAS,15016299025262C
400082,ACERO - FUENTES,15016299025261C
400085,ACERO - GARCIA HS,15016299025048C
400112,ACERO - IDAR,15016299025271C
400089,ACERO - MARQUEZ,15016299025263C
400083,ACERO - PAZ,15016299025259C
400114,ACERO - SANTIAGO,15016299025267C
400149,ACERO - SOTO HS,15016299025049C
400084,ACERO - TAMAYO,15016299025260C
400080,ACERO - TORRES,15016299025265C
400079,ACERO - ZIZUMBO,15016299025264C
400060,AHS - PASSAGES,15016299025214C
400172,ASPIRA - BUSINESS & FINANCE HS,15016299025075C
400013,ASPIRA - EARLY COLLEGE HS,15016299025074C
400017,ASPIRA - HAUGAN,15016299025106C
400021,CATALYST - CIRCLE ROCK,15016299025228C
400115,CATALYST - MARIA,15016299025232C
400022,CHIARTS HS,150162990250851
400161,CHICAGO COLLEGIATE,15016299025236C
400035,CHICAGO MATH & SCIENCE HS,15016299025217C
400091,CHICAGO TECH HS,150162990250850
400036,CHICAGO VIRTUAL,15016299025225C
400159,CHRISTOPHER HOUSE,15016299025235C
400023,CICS - AVALON/SOUTH SHORE,15016299025252C
400024,CICS - BASIL,15016299025250C
400092,CICS - BOND,15016299025256C
400025,CICS - BUCKTOWN,15016299025246C
400113,CICS - CHICAGOQUEST HS,15016299025027C
400032,CICS - ELLISON HS,15016299025026C
400027,CICS - IRVING PARK,15016299025254C
400033,CICS - LONGWOOD,15016299025247C
400026,CICS - LOOMIS,15016299025255C
400034,CICS - NORTHTOWN HS,15016299025025C
400028,CICS - PRAIRIE,15016299025248C
400029,CICS - WASHINGTON PARK,15016299025249C
400030,CICS - WEST BELDEN,15016299025251C
400031,CICS - WRIGHTWOOD,15016299025253C
400094,EPIC HS,15016299025015C
400039,ERIE,15016299025219C
400171,FOUNDATIONS,15016299025242C
400040,FRAZIER CHARTER,15016299025238C
400009,GLOBAL CITIZENSHIP,15016299025229C
400168,GREAT LAKES,15016299025241C
400043,HOPE INSTITUTE,150162990252961
400167,HORIZON - SOUTHWEST,15016299025240C
400104,INSTITUTO - HEALTH,15016299025012C
400162,INTRINSIC HS,15016299025022C
400146,KIPP - ACADEMY,15016299025101C
400044,KIPP - ASCEND,15016299025102C
400163,KIPP - BLOOM,15016299025103C
400180,KIPP - ONE,15016299025245C
400151,LEARN - 7,15016299025276C
400046,LEARN - BUTLER,15016299025277C
400047,LEARN - CAMPBELL,15016299025273C
400048,LEARN - EXCEL,15016299025272C
400165,LEARN - MIDDLE,15016299025105C
400111,LEARN - PERKINS,15016299025275C
400107,LEARN - SOUTH CHICAGO,15016299025274C
400049,LEGACY,15016299025221C
400119,LEGAL PREP HS,15016299025019C
400011,LOCKE A,15016299025206C
400116,MONTESSORI ENGLEWOOD,15016299025233C
400178,MOVING EVEREST,15016299025244C
400050,NAMASTE,15016299025218C
400045,NKRUMAH,15016299025231C
400170,NOBLE - ACADEMY HS,15016299025043C
400157,NOBLE - BAKER HS,15016299025040C
400097,NOBLE - BULLS HS,15016299025034C
400156,NOBLE - BUTLER HS,15016299025039C
400052,NOBLE - COMER,15016299025032C
400118,NOBLE - DRW HS,15016299025038C
400053,NOBLE - GOLDER HS,15016299025031C
400117,NOBLE - HANSBERRY HS,15016299025037C
400169,NOBLE - ITW SPEER HS,15016299025042C
400106,NOBLE - JOHNSON HS,15016299025036C
400179,NOBLE - MANSUETO HS,15016299025044C
400098,NOBLE - MUCHIN HS,15016299025035C
400051,NOBLE - NOBLE HS,15016299025041C
400054,NOBLE - PRITZKER HS,15016299025028C
400055,NOBLE - RAUNER HS,15016299025029C
400056,NOBLE - ROWE CLARK HS,15016299025030C
400057,NOBLE - UIC HS,15016299025033C
400058,NORTH LAWNDALE - CHRISTIANA HS,15016299025047C
400059,NORTH LAWNDALE - COLLINS HS,15016299025046C
400064,PERSPECTIVES - JOSLIN HS,15016299025050C
400061,PERSPECTIVES - LEADERSHIP HS,15016299025051C
400066,PERSPECTIVES - MATH & SCI HS,15016299025053C
400062,PERSPECTIVES - TECH HS,15016299025052C
400068,PLATO,150162990252951
400069,POLARIS,15016299025226C
400071,PROVIDENCE ENGLEWOOD,15016299025224C
400096,ROWE,15016299025230C
400075,U OF C - DONOGHUE,15016299025258C
400076,U OF C - NKO,15016299025257C
400077,U OF C - WOODLAWN HS,15016299025045C
400078,U OF C - WOODSON,15016299025104C
400105,URBAN PREP - BRONZEVILLE HS,15016299025013C
400086,URBAN PREP - ENGLEWOOD HS,15016299025010C
400102,URBAN PREP - WEST HS,15016299025016C
400087,YOUNG WOMENS HS,15016299025007C
609695,AMUNDSEN HS,150162990250001
609698,BOGAN HS,150162990250003
609760,CARVER MILITARY HS,150162990250006
609704,FARRAGUT HS,150162990250011
609705,FENGER HS,150162990250012
609708,FOREMAN HS,150162990250013
610563,BACK OF THE YARDS HS,150162990250014
609709,GAGE PARK HS,150162990250015
609710,HARLAN HS,150162990250016
609711,HARPER HS,150162990250017
609712,HIRSCH HS,150162990250019
609741,HUBBARD HS,150162990250020
609713,HYDE PARK HS,150162990250021
609715,KELLY HS,150162990250022
609716,KELVYN PARK HS,150162990250023
609718,KENNEDY HS,150162990250024
609746,KENWOOD HS,150162990250025
609719,LAKE VIEW HS,150162990250026
609720,LANE TECH HS,150162990250027
609723,MARSHALL HS,150162990250029
609724,MATHER HS,150162990250030
609725,MORGAN PARK HS,150162990250031
609727,PHILLIPS HS,150162990250034
609728,ROOSEVELT HS,150162990250035
609729,SCHURZ HS,150162990250036
609730,SENN HS,150162990250037
609751,KING HS,150162990250039
609732,STEINMETZ HS,150162990250041
609733,SULLIVAN HS,150162990250042
609734,TAFT HS,150162990250043
609735,TILDEN HS,150162990250044
609737,VON STEUBEN HS,150162990250046
609738,LINCOLN PARK HS,150162990250047
609739,WASHINGTON HS,150162990250048
609740,WELLS HS,150162990250049
610561,CRANE MEDICAL HS,150162990250052
610564,DISNEY II HS,150162990250053
609674,CHICAGO VOCATIONAL HS,150162990250526
609676,DUNBAR HS,150162990250531
609678,JONES HS,150162990250533
609679,PROSSER HS,150162990250534
609682,RICHARDS HS,150162990250536
609692,SIMEON HS,150162990250537
609761,CORLISS HS,150162990250543
609759,CLEMENTE HS,150162990250545
609722,MANLEY HS,150162990250616
609756,CURIE HS,150162990250617
609762,JULIAN HS,150162990250763
609755,YOUNG HS,150162990250764
609707,ROBESON HS,150162990250766
609764,JUAREZ HS,150162990250767
