Community Area ID,Community Area Name,B01003_001E: Total,B01003_001M: Margin Of Error For!!Total
14,Albany Park,52079,1941
57,Archer Heights,13293,820
34,Armour Square,14007,716
70,Ashburn,42752,1407
71,Auburn Gresham,45842,1490
25,Austin,97643,2635
45,Avalon Park,9813,659
21,Avondale,39721,1654
19,Belmont Cragin,79210,2176
72,Beverly,20815,702
60,Bridgeport,33939,1253
58,Brighton Park,44202,1670
47,Burnside,2601,490
48,Calumet Heights,13732,763
44,Chatham,31359,1391
66,Chicago Lawn,55551,1903
64,Clearing,24962,880
35,Douglas,20323,886
17,Dunning,43025,1191
27,East Garfield Park,20665,905
52,East Side,23817,1195
77,Edgewater,54873,1595
9,Edison Park,11356,593
68,Englewood,26121,1334
12,Forest Glen,18437,715
37,Fuller Park,2457,291
63,Gage Park,41202,1526
56,Garfield Ridge,35632,1025
38,Grand Boulevard,22750,1022
69,Greater Grand Crossing,32346,1385
55,Hegewisch,8952,910
20,Hermosa,25489,1219
23,Humboldt park,55011,2258
41,Hyde Park,26893,997
16,Irving Park,56520,1769
11,Jefferson Park,27264,1213
39,Kenwood,17601,806
6,Lake View,98212,1791
7,Lincoln Park,66959,1660
4,Lincoln Square,40761,1331
22,Logan Square,74549,1762
32,Loop,33442,1572
31,Lower West Side,34410,1472
59,McKinley Park,16336,792
18,Montclaire,12973,1172
75,Morgan Park,29113,1078
74,Mount Greenwood,18783,703
8,Near North Side,85711,1905
33,Near South Side,22401,1645
28,Near West Side,61768,1558
61,New City,41083,1612
5,North Center,34623,990
29,North Lawndale,35276,1465
13,North Park,18442,854
10,Norwood Park,41479,1059
76,O'Hare,22015,1173
36,Oakland,6422,424
15,Portage Park,64846,1866
50,Pullman,6501,569
54,Riverdale,7090,632
1,Rogers Park,54402,2002
49,Roseland,42505,1633
46,South Chicago,28095,1370
51,South Deering,15305,1048
30,South Lawndale,73826,2117
43,South Shore,49155,2032
3,Uptown,55137,1584
73,Washington Height,27116,1072
40,Washington Park,12081,745
62,West Elsdon,19192,917
67,West Englewood,32156,1365
26,West Garfield Park,17733,1002
65,West Lawn,32749,1339
53,West Pullman,31490,1506
2,West Ridge,72211,2174
24,West Town,85582,1816
42,Woodlawn,26446,1214
