Community Area ID,Community Area Name,B03002_001E: Total:,B03002_001M: Margin Of Error For!!Total:,B03002_002E: Not Hispanic or Latino:,B03002_002M: Margin Of Error For!!Not Hispanic or Latino:,B03002_003E: Not Hispanic or Latino:!!White alone,B03002_003M: Margin Of Error For!!Not Hispanic or Latino:!!White alone,B03002_004E: Not Hispanic or Latino:!!Black or African American alone,B03002_004M: Margin Of Error For!!Not Hispanic or Latino:!!Black or African American alone,B03002_005E: Not Hispanic or Latino:!!American Indian and Alaska Native alone,B03002_005M: Margin Of Error For!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,B03002_006E: Not Hispanic or Latino:!!Asian alone,B03002_006M: Margin Of Error For!!Not Hispanic or Latino:!!Asian alone,B03002_007E: Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,B03002_007M: Margin Of Error For!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,B03002_008E: Not Hispanic or Latino:!!Some other race alone,B03002_008M: Margin Of Error For!!Not Hispanic or Latino:!!Some other race alone,B03002_009E: Not Hispanic or Latino:!!Two or more races:,B03002_009M: Margin Of Error For!!Not Hispanic or Latino:!!Two or more races:,B03002_010E: Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,B03002_010M: Margin Of Error For!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"B03002_011E: Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","B03002_011M: Margin Of Error For!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",B03002_012E: Hispanic or Latino:,B03002_012M: Margin Of Error For!!Hispanic or Latino:,B03002_013E: Hispanic or Latino:!!White alone,B03002_013M: Margin Of Error For!!Hispanic or Latino:!!White alone,B03002_014E: Hispanic or Latino:!!Black or African American alone,B03002_014M: Margin Of Error For!!Hispanic or Latino:!!Black or African American alone,B03002_015E: Hispanic or Latino:!!American Indian and Alaska Native alone,B03002_015M: Margin Of Error For!!Hispanic or Latino:!!American Indian and Alaska Native alone,B03002_016E: Hispanic or Latino:!!Asian alone,B03002_016M: Margin Of Error For!!Hispanic or Latino:!!Asian alone,B03002_017E: Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,B03002_017M: Margin Of Error For!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,B03002_018E: Hispanic or Latino:!!Some other race alone,B03002_018M: Margin Of Error For!!Hispanic or Latino:!!Some other race alone,B03002_019E: Hispanic or Latino:!!Two or more races:,B03002_019M: Margin Of Error For!!Hispanic or Latino:!!Two or more races:,B03002_020E: Hispanic or Latino:!!Two or more races:!!Two races including Some other race,B03002_020M: Margin Of Error For!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"B03002_021E: Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","B03002_021M: Margin Of Error For!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
14,Albany Park,52079,1941,27076,1414,15349,1076,2215,502,23,51,8223,1051,52,85,30,55,1184,319,94,91,1090,306,25003,1701,13582,1510,76,64,6,42,60,80,NA,43,10212,1452,1067,377,785,352,282,161
57,Archer Heights,13293,820,3167,306,2578,296,116,110,11,30,391,161,NA,27,5,26,66,49,4,25,62,49,10126,862,5346,824,17,31,74,74,6,26,6,26,4439,746,238,130,157,101,81,85
34,Armour Square,14007,716,13581,721,1521,273,1348,222,4,25,10300,747,47,82,NA,27,361,273,47,71,314,264,426,182,287,133,NA,27,5,25,NA,27,NA,27,114,108,20,36,1,24,19,37
70,Ashburn,42752,1407,27297,1248,5555,533,20817,1198,13,41,284,156,NA,39,16,45,612,355,151,223,461,302,15455,1096,6294,941,122,95,102,108,NA,39,NA,39,8400,1116,537,227,446,208,91,76
71,Auburn Gresham,45842,1490,45153,1476,231,131,44402,1476,58,78,117,87,9,46,NA,45,336,197,NA,45,336,197,689,291,205,140,158,99,4,44,NA,45,NA,45,57,68,265,195,165,161,100,118
25,Austin,97643,2635,86511,2549,4353,588,81066,2509,71,85,467,207,14,64,23,65,517,268,NA,61,517,268,11132,1310,3619,753,562,253,56,77,NA,61,29,75,6509,1208,357,221,284,202,73,109
45,Avalon Park,9813,659,9751,673,53,66,9553,662,NA,19,59,82,NA,19,19,23,67,60,NA,19,67,60,62,73,34,55,28,46,NA,19,NA,19,NA,19,NA,19,NA,19,NA,19,NA,19
21,Avondale,39721,1654,15158,939,12327,830,842,302,37,43,1277,291,28,54,24,40,623,265,10,38,613,265,24563,1703,20808,1751,129,95,274,277,21,40,NA,36,2982,784,349,151,168,116,181,110
19,Belmont Cragin,79210,2176,15833,1101,11298,902,2485,553,37,62,1187,339,NA,55,245,150,581,296,16,57,565,296,63377,2297,24670,1940,379,189,145,97,30,61,15,59,36771,2301,1367,357,1045,305,322,170
72,Beverly,20815,702,19401,732,11604,520,7257,697,18,31,101,71,NA,29,87,70,334,145,NA,29,334,145,1414,303,1073,291,21,34,13,34,NA,29,NA,29,213,117,94,63,68,55,26,39
60,Bridgeport,33939,1253,24381,1105,10842,768,951,264,116,168,11726,934,NA,38,206,206,540,235,10,39,530,234,9558,1080,5614,832,73,88,91,67,9,37,10,40,3456,750,305,150,205,130,100,71
58,Brighton Park,44202,1670,6582,550,2844,344,677,272,11,44,2955,463,NA,42,14,44,81,91,NA,42,81,91,37620,1739,22760,1756,303,278,480,271,21,45,NA,42,13525,1552,531,230,421,201,110,117
47,Burnside,2601,490,2601,490,NA,11,2601,490,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11,NA,11
48,Calumet Heights,13732,763,13289,768,308,130,12835,813,10,29,5,25,NA,27,4,25,127,105,NA,27,127,105,443,161,226,117,85,71,NA,27,NA,27,NA,27,126,94,6,26,6,26,NA,27
44,Chatham,31359,1391,31072,1381,388,201,30297,1398,11,38,109,118,20,45,31,48,216,116,15,41,201,114,287,162,21,38,136,114,NA,36,NA,36,NA,36,39,46,91,117,75,115,16,43
66,Chicago Lawn,55551,1903,29174,1442,1873,360,26100,1391,NA,47,529,322,NA,47,68,83,604,264,15,49,589,263,26377,1545,7835,1050,126,79,109,110,NA,47,NA,47,17603,1598,704,283,647,277,57,63
64,Clearing,24962,880,12601,642,11871,592,140,96,6,30,319,232,NA,31,NA,31,265,139,NA,31,265,139,12361,769,5280,781,7,30,20,35,15,33,NA,31,5709,936,1330,644,902,567,428,310
35,Douglas,20323,886,19838,896,2165,297,14365,744,NA,35,2913,598,4,34,30,39,361,143,59,52,302,136,485,130,278,89,18,33,14,35,10,38,NA,35,153,93,12,34,8,35,4,34
17,Dunning,43025,1191,31577,1127,28340,1024,1035,568,15,45,1775,427,25,58,NA,39,387,153,NA,39,387,153,11448,1011,8069,1013,36,48,46,58,72,91,5,38,2932,690,288,139,139,91,149,111
27,East Garfield Park,20665,905,19937,900,878,212,18862,905,15,44,57,51,NA,38,12,38,113,76,19,46,94,71,728,235,267,149,58,52,NA,38,NA,38,NA,38,323,170,80,72,52,61,28,53
52,East Side,23817,1195,4825,546,4049,432,684,367,15,35,28,52,NA,29,7,29,42,56,13,27,29,55,18992,1244,15760,1276,283,223,115,82,NA,29,NA,29,2407,556,427,218,328,200,99,91
77,Edgewater,54873,1595,45955,1388,29912,1157,7853,928,69,81,6324,750,16,52,106,82,1675,438,168,98,1507,429,8918,1172,6942,1143,94,81,7,46,169,123,NA,46,1321,401,385,150,254,121,131,97
9,Edison Park,11356,593,10293,562,9926,638,120,192,NA,22,167,88,NA,22,NA,22,80,53,NA,22,80,53,1063,236,888,215,NA,22,NA,22,NA,22,NA,22,129,91,46,43,34,32,12,27
68,Englewood,26121,1334,25439,1353,199,113,24810,1353,68,77,76,85,NA,36,59,92,227,148,5,36,222,148,682,304,112,108,58,58,21,48,8,37,11,39,429,282,43,54,34,53,9,37
12,Forest Glen,18437,715,16233,711,13242,617,177,160,NA,24,2470,488,NA,24,NA,24,344,146,NA,24,344,146,2204,420,1233,319,NA,24,NA,24,NA,24,NA,24,692,285,279,191,235,184,44,45
37,Fuller Park,2457,291,2305,262,37,24,2268,260,NA,16,NA,16,NA,16,NA,16,NA,16,NA,16,NA,16,152,132,68,69,NA,16,NA,16,NA,16,NA,16,84,115,NA,16,NA,16,NA,16
63,Gage Park,41202,1526,3193,475,1460,325,1342,330,NA,40,350,184,NA,40,NA,40,41,54,NA,40,41,54,38009,1583,15883,1599,126,97,121,137,68,108,NA,40,21295,1828,516,237,346,171,170,177
56,Garfield Ridge,35632,1025,19014,845,16852,852,1462,265,7,42,422,167,NA,42,26,55,245,125,38,59,207,117,16618,1053,9771,1069,65,62,4,41,59,70,NA,42,6184,916,535,277,377,244,158,123
38,Grand Boulevard,22750,1022,22176,997,719,223,20624,1031,46,60,117,73,NA,43,208,160,462,155,9,44,453,154,574,221,213,112,106,80,32,42,10,44,9,43,181,181,23,43,NA,43,23,43
69,Greater Grand Crossing,32346,1385,31988,1385,466,210,31077,1394,145,76,4,37,18,47,26,45,252,127,NA,38,252,127,358,149,32,38,163,111,NA,38,NA,38,NA,38,136,92,27,42,10,39,17,41
55,Hegewisch,8952,910,4709,669,4078,617,566,323,NA,19,NA,19,NA,19,NA,19,65,69,NA,19,65,69,4243,956,3548,915,51,81,58,47,31,53,NA,19,328,210,227,261,176,248,51,81
20,Hermosa,25489,1219,2998,398,1880,301,379,168,50,59,355,179,NA,29,108,83,226,115,NA,29,226,115,22491,1297,8226,1144,229,132,67,74,52,66,47,68,13484,1383,386,178,272,165,114,74
23,Humboldt park,55011,2258,26399,1871,2958,416,22481,1839,29,67,271,159,NA,49,226,211,434,276,8,48,426,276,28612,1897,8352,1015,649,334,102,87,6,49,NA,49,18613,1731,890,363,670,321,220,181
41,Hyde Park,26893,997,25002,970,12584,759,8047,764,95,132,3244,377,NA,38,136,105,896,196,32,53,864,193,1891,359,897,214,142,121,NA,38,NA,38,NA,38,697,257,155,88,122,84,33,43
16,Irving Park,56520,1769,30161,1141,22650,1047,1271,317,88,99,4614,754,27,54,79,63,1432,317,178,182,1254,261,26359,1695,20138,1571,220,140,22,51,81,68,NA,46,5510,1169,388,171,252,156,136,83
11,Jefferson Park,27264,1213,21046,1117,17761,1069,250,117,56,58,2444,382,NA,31,19,34,516,174,19,34,497,174,6218,816,3956,681,NA,31,12,34,18,41,NA,31,1803,565,429,188,332,161,97,104
39,Kenwood,17601,806,16934,810,2978,391,11916,770,17,41,1520,432,NA,31,114,134,389,150,55,93,334,123,667,226,381,195,90,74,NA,31,NA,31,NA,31,86,68,110,72,67,68,43,46
6,Lake View,98212,1791,91087,1720,78186,1711,3428,544,182,145,6748,764,16,67,80,89,2447,426,92,93,2355,420,7125,796,5690,718,54,76,33,70,28,74,NA,66,1001,321,319,150,106,81,213,142
7,Lincoln Park,66959,1660,62541,1661,53676,1684,3204,517,14,50,3785,544,21,51,154,117,1687,335,63,63,1624,332,4418,641,3827,614,49,61,28,58,9,51,NA,50,403,165,102,69,37,55,65,62
4,Lincoln Square,40761,1331,33577,1158,26405,1096,1398,407,83,87,4480,778,NA,41,55,77,1156,412,54,71,1102,407,7184,1003,4748,951,127,110,33,52,51,67,NA,41,1988,605,237,119,124,102,113,71
22,Logan Square,74549,1762,39872,1325,32784,1169,3452,669,126,129,2112,414,12,58,82,88,1304,247,26,68,1278,244,34677,1705,27591,1691,646,254,106,94,177,134,NA,58,5133,773,1024,276,437,174,587,227
32,Loop,33442,1572,31286,1573,20378,1215,4131,906,90,96,5733,813,12,37,17,41,925,341,35,62,890,334,2156,482,1623,401,16,26,1,26,18,39,NA,31,382,208,116,112,80,97,36,62
31,Lower West Side,34410,1472,6717,616,4617,485,1117,314,50,55,598,195,NA,41,NA,41,335,147,NA,41,335,147,27693,1609,13947,1545,100,84,32,47,9,39,NA,41,13184,1470,421,171,272,133,149,107
59,McKinley Park,16336,792,6724,574,2802,391,507,259,87,111,3136,509,NA,25,16,34,176,124,NA,25,176,124,9612,804,5187,756,26,31,239,196,10,28,NA,25,3807,757,343,242,124,82,219,226
18,Montclaire,12973,1172,4881,616,3615,527,575,205,NA,21,611,327,NA,21,33,59,47,48,NA,21,47,48,8092,1260,4539,1049,104,92,NA,21,NA,21,NA,21,3203,769,246,162,82,97,164,157
