Community Area ID,Community Area Name,B17026_001E: Total:,B17026_001M: Margin Of Error For!!Total:,B17026_002E: Under .50,B17026_002M: Margin Of Error For!!Under .50,B17026_003E: .50 to .74,B17026_003M: Margin Of Error For!!.50 to .74,B17026_004E: .75 to .99,B17026_004M: Margin Of Error For!!.75 to .99,B17026_005E: 1.00 to 1.24,B17026_005M: Margin Of Error For!!1.00 to 1.24,B17026_006E: 1.25 to 1.49,B17026_006M: Margin Of Error For!!1.25 to 1.49,B17026_007E: 1.50 to 1.74,B17026_007M: Margin Of Error For!!1.50 to 1.74,B17026_008E: 1.75 to 1.84,B17026_008M: Margin Of Error For!!1.75 to 1.84,B17026_009E: 1.85 to 1.99,B17026_009M: Margin Of Error For!!1.85 to 1.99,B17026_010E: 2.00 to 2.99,B17026_010M: Margin Of Error For!!2.00 to 2.99,B17026_011E: 3.00 to 3.99,B17026_011M: Margin Of Error For!!3.00 to 3.99,B17026_012E: 4.00 to 4.99,B17026_012M: Margin Of Error For!!4.00 to 4.99,B17026_013E: 5.00 and over,B17026_013M: Margin Of Error For!!5.00 and over
14,Albany Park,10916,422,520,145,728,193,577,162,633,172,499,145,872,190,181,104,482,147,1750,269,1143,209,842,176,2689,296
57,Archer Heights,2897,165,90,49,137,81,126,66,164,67,137,61,284,82,114,60,124,67,668,125,500,115,177,67,376,85
34,Armour Square,3494,202,414,142,468,155,330,106,413,141,228,102,175,113,68,62,85,59,487,142,250,86,207,86,369,112
70,Ashburn,9926,347,326,111,231,106,354,138,405,125,454,145,373,135,143,93,254,103,2038,290,1767,277,962,203,2619,296
71,Auburn Gresham,10540,424,1404,218,572,145,606,143,895,199,519,143,823,214,342,119,270,93,1805,264,1419,229,792,166,1093,188
25,Austin,21165,645,2368,320,1586,283,1545,267,1576,264,1359,245,1520,251,366,115,702,176,3774,381,2229,301,1547,242,2593,335
45,Avalon Park,2336,224,147,98,158,97,109,76,122,73,135,78,99,55,24,29,34,36,348,120,389,132,273,111,498,139
21,Avondale,8281,405,423,127,420,145,608,181,689,163,682,193,596,154,201,96,271,111,1710,262,744,181,632,158,1305,199
19,Belmont Cragin,16872,454,899,204,1144,233,1205,229,1159,209,1270,229,1241,222,434,121,604,159,3488,353,2493,287,1170,198,1765,237
72,Beverly,5244,213,92,78,13,34,48,43,42,43,39,37,121,79,45,47,120,67,345,89,727,153,617,128,3035,232
60,Bridgeport,7802,349,334,110,513,143,412,122,610,149,519,146,371,108,252,104,296,107,1115,191,831,164,723,155,1826,213
58,Brighton Park,9647,350,688,174,672,189,1026,209,1079,207,852,187,727,172,232,95,401,146,2079,270,860,175,389,118,642,144
47,Burnside,485,94,55,47,10,16,76,59,21,24,26,30,63,49,NA,11,7,12,106,48,32,32,42,36,47,43
48,Calumet Heights,3452,233,139,66,52,41,124,72,150,84,168,100,220,128,103,63,76,44,574,167,563,156,349,112,934,192
44,Chatham,7129,447,742,188,426,148,418,144,425,134,411,143,424,178,111,62,155,87,1199,253,1001,223,667,189,1150,202
66,Chicago Lawn,11355,397,1273,224,808,178,1011,210,932,186,787,168,893,184,304,102,521,145,2290,266,1278,209,550,145,708,147
64,Clearing,6106,269,181,101,91,52,377,142,177,85,211,100,288,110,73,51,169,73,1145,222,1224,211,936,214,1234,203
35,Douglas,3228,252,606,123,267,83,216,77,167,63,177,92,28,32,36,41,111,61,449,129,308,115,295,116,568,124
17,Dunning,10831,366,249,99,247,112,440,134,229,85,560,180,392,131,211,84,316,101,1737,251,1727,250,1437,222,3286,317
27,East Garfield Park,4285,214,1007,158,490,106,339,92,270,78,328,88,238,79,45,40,60,47,442,97,485,104,211,62,370,95
52,East Side,5242,243,406,129,317,116,309,105,284,109,536,159,390,117,135,70,230,104,773,157,636,151,413,99,813,169
77,Edgewater,9728,544,461,136,335,126,506,207,324,112,228,109,417,168,115,74,195,93,1226,241,1170,235,1098,241,3653,349
9,Edison Park,2928,205,NA,22,10,25,9,21,17,23,70,43,21,26,24,28,41,49,469,148,333,102,248,96,1686,192
68,Englewood,5343,316,1135,190,466,115,645,147,446,115,497,126,302,101,129,65,223,87,701,143,335,94,123,59,341,102
12,Forest Glen,4920,225,48,40,57,48,NA,24,48,42,121,82,75,88,61,53,45,47,468,146,404,120,557,143,3036,271
37,Fuller Park,521,82,47,31,46,30,42,26,38,20,41,31,47,36,8,16,8,12,87,39,72,32,19,15,66,39
63,Gage Park,7866,277,510,142,637,151,599,146,972,195,909,200,721,170,212,97,390,124,1660,237,642,163,355,112,259,89
56,Garfield Ridge,8611,298,221,107,47,46,185,66,412,132,189,71,321,112,121,58,207,92,1569,229,1486,228,1155,214,2698,271
38,Grand Boulevard,4549,293,705,156,446,116,335,98,391,120,152,63,199,79,37,48,83,63,555,131,535,132,199,89,912,146
69,Greater Grand Crossing,7063,365,1291,214,609,148,557,164,355,113,336,108,441,123,138,67,246,98,1248,196,519,130,536,139,787,159
55,Hegewisch,2221,241,142,132,56,47,85,61,54,64,140,122,47,39,18,31,19,23,447,172,371,159,148,85,694,172
20,Hermosa,5403,277,208,95,472,133,412,133,579,152,336,106,409,125,156,69,182,92,1106,204,617,144,284,95,642,142
23,Humboldt park,11436,464,1761,291,842,201,925,198,1121,242,1171,230,649,160,278,116,244,101,1919,285,1142,225,537,136,847,180
41,Hyde Park,4720,310,187,88,165,88,109,84,222,103,66,49,154,95,26,42,46,46,634,155,417,105,519,126,2175,220
16,Irving Park,12319,455,546,166,381,141,354,126,897,233,726,172,652,164,190,82,248,96,1973,288,1720,251,1067,188,3565,318
11,Jefferson Park,6416,312,197,128,136,65,172,89,253,106,248,105,199,72,77,58,126,64,942,196,998,201,679,152,2389,240
39,Kenwood,3610,292,293,97,93,57,145,71,166,73,152,77,148,74,115,68,142,99,404,110,356,139,275,123,1321,196
6,Lake View,15164,617,316,174,144,93,217,105,220,124,251,105,175,102,104,91,93,79,822,180,851,183,1197,275,10774,538
7,Lincoln Park,10778,524,165,82,75,77,147,105,77,67,110,76,153,92,7,50,90,78,466,126,576,133,592,154,8320,506
4,Lincoln Square,8694,478,424,164,161,107,205,105,353,170,255,118,185,89,179,108,158,102,1032,218,935,195,683,163,4124,356
22,Logan Square,14566,504,808,195,698,181,729,174,854,184,634,145,733,145,223,101,350,123,2055,253,1396,217,947,169,5139,335
32,Loop,6122,713,203,127,83,104,17,39,13,34,3,30,NA,31,7,30,55,77,246,156,379,255,420,192,4696,648
31,Lower West Side,6792,366,462,132,507,157,721,182,677,160,562,157,483,151,127,67,390,142,1029,188,797,171,324,100,713,149
59,McKinley Park,3694,189,297,107,209,79,376,117,247,79,187,80,207,81,89,43,173,78,744,144,378,101,261,87,526,117
