SCHOOL_ID,SCHOOL_NAME,STATUS_SY1617,GRADE_CAT_SY1617,GOVERNANCE_SY1617,NETWORK_SY1617,BOUNDARY_SY1617,TA,RA,ANR,RNA,TR,RA/TA,ANR/TA,RA/TR,RNA/TR
609674,CHICAGO VOCATIONAL HS,ACTIVE,HS,Network 12,District,Attendance Area School,923,308,615,2241,2549,0.3336944745,0.6663055255,0.1208316987,0.8791683013
609682,RICHARDS HS,ACTIVE,HS,Network 8,District,Attendance Area School,252,107,145,1273,1380,0.4246031746,0.5753968254,0.07753623188,0.9224637681
609691,NORTH-GRAND HS,ACTIVE,HS,Network 5,District,Attendance Area School,961,387,574,592,979,0.4027055151,0.5972944849,0.3953013279,0.6046986721
609695,AMUNDSEN HS,ACTIVE,HS,Network 2,District,Attendance Area School,1172,310,862,722,1032,0.2645051195,0.7354948805,0.3003875969,0.6996124031
609698,BOGAN HS,ACTIVE,HS,Network 10,District,Attendance Area School,798,554,244,2887,3441,0.694235589,0.305764411,0.1609997094,0.8390002906
609704,FARRAGUT HS,ACTIVE,HS,Network 7,District,Attendance Area School,843,718,125,2724,3442,0.8517200474,0.1482799526,0.2085996514,0.7914003486
609705,FENGER HS,ACTIVE,HS,Network 13,District,Attendance Area School,230,165,65,1864,2029,0.7173913043,0.2826086957,0.08132084771,0.9186791523
609707,ROBESON HS,ACTIVE,HS,Network 11,District,Attendance Area School,151,86,65,2237,2323,0.5695364238,0.4304635762,0.03702109341,0.9629789066
609708,FOREMAN HS,ACTIVE,HS,Network 3,District,Attendance Area School,894,644,250,2841,3485,0.7203579418,0.2796420582,0.1847919656,0.8152080344
609709,GAGE PARK HS,ACTIVE,HS,Network 8,District,Attendance Area School,336,258,78,2497,2755,0.7678571429,0.2321428571,0.09364791289,0.9063520871
609710,HARLAN HS,ACTIVE,HS,Network 12,District,Attendance Area School,484,192,292,2500,2692,0.3966942149,0.6033057851,0.07132243685,0.9286775632
609711,HARPER HS,ACTIVE,HS,Network 11,District,Attendance Area School,167,114,53,1052,1166,0.6826347305,0.3173652695,0.09777015437,0.9022298456
609712,HIRSCH HS,ACTIVE,HS,Network 12,District,Attendance Area School,151,87,64,2414,2501,0.5761589404,0.4238410596,0.03478608557,0.9652139144
609713,HYDE PARK HS,ACTIVE,HS,Network 9,District,Attendance Area School,745,269,476,1856,2125,0.3610738255,0.6389261745,0.1265882353,0.8734117647
609715,KELLY HS,ACTIVE,HS,Network 8,District,Attendance Area School,2075,1468,607,2833,4301,0.7074698795,0.2925301205,0.341315973,0.658684027
609716,KELVYN PARK HS,ACTIVE,HS,Network 4,District,Attendance Area School,533,390,143,2696,3086,0.7317073171,0.2682926829,0.1263771873,0.8736228127
609718,KENNEDY HS,ACTIVE,HS,Network 10,District,Attendance Area School,1658,1253,405,850,2103,0.7557297949,0.2442702051,0.5958155017,0.4041844983
609719,LAKE VIEW HS,ACTIVE,HS,Network 2,District,Attendance Area School,1298,332,966,943,1275,0.2557781202,0.7442218798,0.2603921569,0.7396078431
609722,MANLEY HS,ACTIVE,HS,Network 5,District,Attendance Area School,177,132,45,2408,2540,0.7457627119,0.2542372881,0.05196850394,0.9480314961
609723,MARSHALL HS,ACTIVE,HS,Network 5,District,Attendance Area School,370,176,194,2016,2192,0.4756756757,0.5243243243,0.0802919708,0.9197080292
609724,MATHER HS,ACTIVE,HS,Network 2,District,Attendance Area School,1502,1211,291,1626,2837,0.8062583222,0.1937416778,0.4268593585,0.5731406415
609725,MORGAN PARK HS,ACTIVE,HS,Network 10,District,Attendance Area School,1420,494,926,1249,1743,0.3478873239,0.6521126761,0.2834193919,0.7165806081
609727,PHILLIPS HS,ACTIVE,HS,AUSL,District,Attendance Area School,558,282,276,3648,3930,0.5053763441,0.4946236559,0.07175572519,0.9282442748
609728,ROOSEVELT HS,ACTIVE,HS,Network 1,District,Attendance Area School,1198,810,388,2072,2882,0.6761268781,0.3238731219,0.281054823,0.718945177
609729,SCHURZ HS,ACTIVE,HS,Network 1,District,Attendance Area School,1812,961,851,4081,5042,0.5303532009,0.4696467991,0.1905989687,0.8094010313
609730,SENN HS,ACTIVE,HS,Network 2,District,Attendance Area School,1415,920,495,1834,2754,0.6501766784,0.3498233216,0.3340595497,0.6659404503
609732,STEINMETZ HS,ACTIVE,HS,Network 3,District,Attendance Area School,1374,1125,249,3233,4358,0.8187772926,0.1812227074,0.2581459385,0.7418540615
609733,SULLIVAN HS,ACTIVE,HS,Network 2,District,Attendance Area School,626,425,201,1539,1964,0.678913738,0.321086262,0.216395112,0.783604888
609734,TAFT HS,ACTIVE,HS,Network 1,District,Attendance Area School,3289,2576,713,1762,4338,0.7832167832,0.2167832168,0.5938220378,0.4061779622
609735,TILDEN HS,ACTIVE,HS,Network 8,District,Attendance Area School,280,156,124,2198,2354,0.5571428571,0.4428571429,0.06627017842,0.9337298216
609738,LINCOLN PARK HS,ACTIVE,HS,ISP,District,Attendance Area School,2129,653,1476,715,1368,0.3067167684,0.6932832316,0.4773391813,0.5226608187
609739,WASHINGTON HS,ACTIVE,HS,Network 13,District,Attendance Area School,1410,1255,155,787,2042,0.890070922,0.109929078,0.6145935357,0.3854064643
609740,WELLS HS,ACTIVE,HS,ISP,District,Attendance Area School,378,108,270,1416,1524,0.2857142857,0.7142857143,0.07086614173,0.9291338583
609741,HUBBARD HS,ACTIVE,HS,Network 10,District,Attendance Area School,1772,1170,602,1225,2395,0.6602708804,0.3397291196,0.4885177453,0.5114822547
609746,KENWOOD HS,ACTIVE,HS,Network 9,District,Attendance Area School,1784,446,1338,428,874,0.25,0.75,0.5102974828,0.4897025172
609756,CURIE HS,ACTIVE,HS,Network 8,District,Attendance Area School,2951,1286,1665,1488,2774,0.4357844798,0.5642155202,0.4635904831,0.5364095169
609759,CLEMENTE HS,ACTIVE,HS,ISP,District,Attendance Area School,737,378,359,1597,1975,0.512890095,0.487109905,0.1913924051,0.8086075949
609761,CORLISS HS,ACTIVE,HS,Network 13,District,Attendance Area School,371,179,192,1499,1678,0.4824797844,0.5175202156,0.1066746126,0.8933253874
609762,JULIAN HS,ACTIVE,HS,Network 13,District,Attendance Area School,631,102,529,690,792,0.1616481775,0.8383518225,0.1287878788,0.8712121212
609764,JUAREZ HS,ACTIVE,HS,ISP,District,Attendance Area School,1607,716,891,1042,1758,0.4455507156,0.5544492844,0.4072810011,0.5927189989
609768,HOPE HS,ACTIVE,HS,Network 11,District,Attendance Area School,136,54,82,617,671,0.3970588235,0.6029411765,0.08047690015,0.9195230999
609772,ADDAMS,ACTIVE,ES,ISP,District,Attendance Area School,778,704,74,59,763,0.9048843188,0.09511568123,0.9226736566,0.07732634338
609773,AGASSIZ,ACTIVE,ES,ISP,District,Attendance Area School,506,92,414,79,171,0.1818181818,0.8181818182,0.5380116959,0.4619883041
609774,ALCOTT ES,ACTIVE,ES,Network 4,District,Attendance Area School,640,251,389,76,327,0.3921875,0.6078125,0.7675840979,0.2324159021
609777,ARMOUR,ACTIVE,ES,Network 6,District,Attendance Area School,274,215,59,217,432,0.7846715328,0.2153284672,0.4976851852,0.5023148148
609779,ARMSTRONG G,ACTIVE,ES,Network 2,District,Attendance Area School,1433,1193,240,833,2026,0.8325191905,0.1674808095,0.5888450148,0.4111549852
609782,AUDUBON,ACTIVE,ES,Network 4,District,Attendance Area School,560,432,128,116,548,0.7714285714,0.2285714286,0.7883211679,0.2116788321
609786,AVALON PARK,ACTIVE,ES,Network 12,District,Attendance Area School,298,244,54,436,680,0.8187919463,0.1812080537,0.3588235294,0.6411764706
609788,BARNARD,ACTIVE,ES,Network 10,District,Attendance Area School,321,172,149,132,304,0.5358255452,0.4641744548,0.5657894737,0.4342105263
609789,BARRY,ACTIVE,ES,Network 4,District,Attendance Area School,726,582,144,395,977,0.8016528926,0.1983471074,0.5957011259,0.4042988741
609790,BARTON,ACTIVE,ES,Network 11,District,Attendance Area School,434,328,106,374,702,0.7557603687,0.2442396313,0.4672364672,0.5327635328
609791,BASS,ACTIVE,ES,Network 11,District,Attendance Area School,449,282,167,275,557,0.6280623608,0.3719376392,0.5062836625,0.4937163375
609792,BATEMAN,ACTIVE,ES,Network 1,District,Attendance Area School,1061,738,323,436,1174,0.6955702168,0.3044297832,0.6286201022,0.3713798978
609793,NICHOLSON,ACTIVE,ES,Network 11,District,Attendance Area School,519,396,123,554,950,0.7630057803,0.2369942197,0.4168421053,0.5831578947
609795,CLARK ES,ACTIVE,ES,Network 3,District,Attendance Area School,250,212,38,62,274,0.848,0.152,0.7737226277,0.2262773723
609796,BEAUBIEN,ACTIVE,ES,Network 1,District,Attendance Area School,1101,772,329,190,962,0.7011807448,0.2988192552,0.8024948025,0.1975051975
609797,BEIDLER,ACTIVE,ES,Network 5,District,Attendance Area School,482,245,237,365,610,0.5082987552,0.4917012448,0.4016393443,0.5983606557
609798,BELDING,ACTIVE,ES,Network 1,District,Attendance Area School,559,435,124,345,780,0.7781753131,0.2218246869,0.5576923077,0.4423076923
609799,BELL,ACTIVE,ES,Network 4,District,Attendance Area School,961,711,250,87,798,0.7398543184,0.2601456816,0.8909774436,0.1090225564
