SCHOOL ID (R-C-D-T-S),"SCHOOL TYPE CODE (0,1,2,C)",SCHOOL NAME,DISTRICT NAME,CITY,COUNTY ,"DISTRICT TYPE CODE (0,1,2,9)","DISTRICT SIZE CODE (1,2,...8,9)",DISTRICT TYPE NAME,DISTRICT SIZE NAME,SCHOOL TYPE NAME,GRADES IN SCHOOL,SCHOOL - WHITE %,SCHOOL - BLACK %,SCHOOL - HISPANIC %,SCHOOL - ASIAN %,SCHOOL - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,SCHOOL - NATIVE AMERICAN %,SCHOOL - TWO OR MORE RACES %,SCHOOL TOTAL ENROLLMENT,DISTRICT - WHITE %,DISTRICT - BLACK %,DISTRICT - HISPANIC %,DISTRICT - ASIAN %,DISTRICT - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,DISTRICT - NATIVE AMERICAN %,DISTRICT - TWO OR MORE RACES %,DISTRICT TOTAL ENROLLMENT
10010010260001,0,Seymour High School              ,Payson CUSD 1                    ,Payson           ,Adams      ,2,8,UNIT       ,MEDIUM,HIGH SCHOOL,7 8 9 10 11 12                 ,97.8,0.4,0.4,0,0,0,1.3,226,95.8,0.4,0.2,0,0,0,3.6,554
10010010262002,2,Seymour Elementary School        ,Payson CUSD 1                    ,Payson           ,Adams      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,PK K 1 2 3 4 5 6               ,94.5,0.3,0,0,0,0,5.2,328,95.8,0.4,0.2,0,0,0,3.6,554
10010020260001,0,Liberty High School              ,Liberty CUSD 2                   ,Liberty          ,Adams      ,2,8,UNIT       ,MEDIUM,HIGH SCHOOL,7 8 9 10 11 12                 ,98.2,0.7,0.4,0,0,0,0.7,277,97,0.5,0.2,0,0,0,2.4,594
10010020262002,2,Liberty Elementary School        ,Liberty CUSD 2                   ,Liberty          ,Adams      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,PK K 1 2 3 4 5 6               ,95.9,0.3,0,0,0,0,3.8,316,97,0.5,0.2,0,0,0,2.4,594
10010030260001,0,Central High School              ,Central CUSD 3                   ,Camp Point       ,Adams      ,2,8,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,96.7,0,0,0,0.4,0,2.9,241,97.3,0.1,0,0,0.1,0,2.5,856
10010030261001,1,Central Junior High School       ,Central CUSD 3                   ,Camp Point       ,Adams      ,2,8,UNIT       ,MEDIUM,MIDDLE SCHL,5 6 7 8                        ,97.1,0.4,0,0,0,0,2.5,277,97.3,0.1,0,0,0.1,0,2.5,856
10010030262003,2,Central Elementary Grade School  ,Central CUSD 3                   ,Camp Point       ,Adams      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,PK K 1 2                       ,98.5,0,0,0,0,0,1.5,204,97.3,0.1,0,0,0.1,0,2.5,856
10010030262008,2,Central 3-4 Middle School        ,Central CUSD 3                   ,Golden           ,Adams      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,3 4                            ,97,0,0,0,0,0,3,134,97.3,0.1,0,0,0.1,0,2.5,856
10010040260001,0,Unity High School                ,CUSD 4                           ,Mendon           ,Adams      ,2,8,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,97.4,0.4,1.3,0,0,0,0.9,228,96.6,0.7,1.9,0.1,0,0,0.6,680
10010040262006,2,Unity Elementary School          ,CUSD 4                           ,Mendon           ,Adams      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,PK K 1 2 3                     ,94.6,2,2.9,0,0,0,0.5,205,96.6,0.7,1.9,0.1,0,0,0.6,680
10010040262007,2,Unity Middle School              ,CUSD 4                           ,Mendon           ,Adams      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,4 5 6 7 8                      ,97.6,0,1.6,0.4,0,0,0.4,247,96.6,0.7,1.9,0.1,0,0,0.6,680
10011720220003,0,Quincy Sr High School            ,Quincy SD 172                    ,Quincy           ,Adams      ,2,9,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,84.6,7.5,2.6,0.6,0,0.1,4.6,"1,873",79.3,10.2,2.7,0.9,0.1,0.2,6.6,"6,757"
10011720221003,1,Quincy Jr High School            ,Quincy SD 172                    ,Quincy           ,Adams      ,2,9,UNIT       ,LARGE ,MIDDLE SCHL,6 7 8                          ,79.4,10.7,2.2,1.2,0.1,0.4,6.1,"1,388",79.3,10.2,2.7,0.9,0.1,0.2,6.6,"6,757"
10011720222004,2,Adams Elementary School          ,Quincy SD 172                    ,Quincy           ,Adams      ,2,9,UNIT       ,LARGE ,ELEMENTARY ,K 1 2 3                        ,77.7,8.5,2.3,0.6,0,0.3,10.7,355,79.3,10.2,2.7,0.9,0.1,0.2,6.6,"6,757"
10011720222006,2,Dewey Elementary School          ,Quincy SD 172                    ,Quincy           ,Adams      ,2,9,UNIT       ,LARGE ,ELEMENTARY ,K 1 2 3                        ,79.4,11.6,2.1,0,0,0.4,6.4,233,79.3,10.2,2.7,0.9,0.1,0.2,6.6,"6,757"
10011720222007,2,Ellington Elementary School      ,Quincy SD 172                    ,Quincy           ,Adams      ,2,9,UNIT       ,LARGE ,ELEMENTARY ,K 1 2 3                        ,80.3,5.5,3.5,1,1.6,0.3,7.7,310,79.3,10.2,2.7,0.9,0.1,0.2,6.6,"6,757"
10011720222008,2,Berrian School                   ,Quincy SD 172                    ,Quincy           ,Adams      ,2,9,UNIT       ,LARGE ,ELEMENTARY ,K 1 2 3                        ,69.1,19.9,4.2,0,0,0.5,6.3,191,79.3,10.2,2.7,0.9,0.1,0.2,6.6,"6,757"
10011720222009,2,Madison School                   ,Quincy SD 172                    ,Quincy           ,Adams      ,2,9,UNIT       ,LARGE ,ELEMENTARY ,K 1 2 3                        ,83.1,4.5,2.5,2.3,0,0,7.6,354,79.3,10.2,2.7,0.9,0.1,0.2,6.6,"6,757"
10011720222016,2,Monroe Elementary School         ,Quincy SD 172                    ,Quincy           ,Adams      ,2,9,UNIT       ,LARGE ,ELEMENTARY ,K 1 2 3                        ,85,3.8,2.5,1.7,0,0,7.1,240,79.3,10.2,2.7,0.9,0.1,0.2,6.6,"6,757"
10011720222017,2,Washington Elementary School     ,Quincy SD 172                    ,Quincy           ,Adams      ,2,9,UNIT       ,LARGE ,ELEMENTARY ,K 1 2 3                        ,52.8,28.8,3.5,0.4,0,0,14.4,229,79.3,10.2,2.7,0.9,0.1,0.2,6.6,"6,757"
10011720222019,2,Baldwin Intermediate             ,Quincy SD 172                    ,Quincy           ,Adams      ,2,9,UNIT       ,LARGE ,ELEMENTARY ,4 5                            ,77,11.2,3.6,1.1,0,0.2,7,"1,003",79.3,10.2,2.7,0.9,0.1,0.2,6.6,"6,757"
10050010260001,0,Brown County High School         ,Brown County CUSD 1              ,Mount Sterling   ,Brown      ,2,8,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,96.2,0,1.1,0.5,0,0.5,1.6,184,96,0.1,2,0.1,0,0.3,1.5,744
10050010261002,1,Brown County Middle School       ,Brown County CUSD 1              ,Mt Sterling      ,Brown      ,2,8,UNIT       ,MEDIUM,MIDDLE SCHL,5 6 7 8                        ,95.5,0,2.7,0,0,0.5,1.4,222,96,0.1,2,0.1,0,0.3,1.5,744
10050010262002,2,Brown County Elementary School   ,Brown County CUSD 1              ,Mount Sterling   ,Brown      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,PK K 1 2 3 4                   ,96,0.3,2.1,0,0,0,1.5,327,96,0.1,2,0.1,0,0.3,1.5,744
