name,city(ies),housed,black,low_income,transfers
Gen George Patton SD 133,Riverdale,233,223,139,125
Dolton SD 148,"Dolton, Riverdale",1922,1845,1819,497
Calumet Public SD 132,Calumet Park,1083,844,891,208
W Harvey-Dixmoor PSD 147,"Harvey, Dixmoor",1117,698,1093,181
Dolton SD 149,"Dolton, South Holland, Calumet City",2671,2562,2656,425
Harvey SD 152,Harvey,1904,1297,1897,267
Country Club Hills SD 160,Country Club Hills,1194,1128,879,154
CCSD 180,"Burr Ridge, Willowbrook",621,422,510,77
Hoover-Schrum Memorial SD 157,Calumet City,875,647,699,107
CCSD 168,Sauk Village,1374,1035,827,168
Calumet City SD 155,Calumet City,1093,621,749,133
Prairie-Hills ESD 144,"Hazel Crest, Country Club Hills, Markham, Oak Forest",2574,2154,2425,294
Lincoln ESD 156,Calumet City,1023,561,906,102
Forest Park SD 91,Forest Park,836,421,396,80
Thornton Twp HSD 205,"Harvey, Dolton, South Holland",4857,4126,418,459
Amandla Charter School,Chicago,278,270,65,26
Bellwood SD 88,"Melrose Park, Stone Park, Bellwood",2301,1111,2177,203
Park Forest SD 163,"Park Forest, Chicago Heights",1744,1471,1530,142
Lindop SD 92,Broadview,407,322,221,33
Hazel Crest SD 152-5,"Hazel Crest, Markham",980,848,886,75
Pembroke CCSD 259,Hopkins Park,208,171,157,14
Ford Heights SD 169,Ford Heights,419,390,409,28
Burnham SD 154-5,Burnham,197,77,190,13
Betty Shabazz  Internl Chrtr Sch,Chicago,561,558,352,37
ESD 159,"Matteson, Richton Park",1888,1582,1400,123
South Holland SD 150,South Holland,923,828,627,60
Rich Twp HSD 227,"Park Forest, Olympia Fields, Richton Park",3005,2697,2420,192
Matteson ESD 162,"Park Forest, Matteson, Olympia Fields, Richton Park",2415,2216,1878,154
South Holland SD 151,"Harvey, South Holland, Phoenix",1562,944,1545,97
Lansing SD 158,Lansing,2362,1226,1802,145
Danville CCSD 118,Danville,5917,2510,4529,361
Thornton Fractional Twp HSD 215,"Calumet City, Lansing",3098,1997,2311,188
Posen-Robbins ESD 143-5,"Robbins, Posen",1583,545,1457,96
Sunnybrook SD 171,Lansing,973,714,43,59
Brookwood SD 167,Glenwood,1161,871,432,67
Chicago Heights SD 170,"South Chicago Heights, Chicago Heights",2997,1007,2954,170
Indian Springs SD 109,"Justice, Bridgeview",2736,451,1754,150
Fairmont SD 89,Lockport,311,125,201,17
Maywood-Melrose Park-Broadview 89,"Melrose Park, Maywood, Broadview",4990,1587,3262,268
Atwood Heights SD 125,"Merrionette Park, Oak Lawn, Alsip",660,96,294,34
Horizon Science Acad-Belmont,Chicago,495,341,405,22
Sandridge SD 172,Lynwood,355,196,197,15
Proviso Twp HSD 209,"Hillside, Maywood, Forest Park",4215,1800,1762,174
Crete Monee CUSD 201U,"Park Forest, Crete, Monee, University Park",4679,2899,3233,173
Bloom Twp HSD 206,Chicago Heights,2949,1489,2383,109
CHSD 218,"Blue Island, Oak Lawn, Palos Heights",5097,1433,5072,186
Evergreen Park CHSD 231,Evergreen Park,855,279,191,31
DeKalb CUSD 428,"Dekalb, Cortland, De Kalb, Malta, DeKalb",6226,1142,3696,223
Cook County SD 130,"Blue Island, Alsip, Crestwood",3409,771,2370,120
Evergreen Park ESD 124,Evergreen Park,1813,474,791,61
Midlothian SD 143,Midlothian,1781,466,1327,55
Flossmoor SD 161,"Flossmoor, Chicago Heights",2297,1486,1081,70
Zion ESD 6,Zion,2513,1057,2174,76
Springfield SD 186,Springfield,14025,5643,8916,419
Bremen CHSD 228,"Country Club Hills, Tinley Park, Oak Forest, Midlothian",4961,1758,1948,147
Carbondale ESD 95,Carbondale,1486,676,686,44
Berwyn North SD 98,Berwyn,3085,315,2707,85
North Chicago SD 187,"North Chicago, Great Lakes",2962,1042,2649,77
La Salle ESD 122,La Salle,847,54,677,22
Darien SD 61,Darien,1480,176,563,37
Alsip-Hazlgrn-Oaklwn SD 126,Alsip,1614,220,947,36
Kankakee SD 111,Kankakee,4799,2299,2736,107
Freeport SD 145,Freeport,3995,972,2656,89
Taft SD 90,Lockport,315,6,115,7
Rockford SD 205,"Rockford, Cherry Valley",26296,7888,13464,579
Marquardt SD 15,"Glendale Heights, Bloomingdale",2615,342,1913,57
Rantoul City SD 137,Rantoul,1679,483,1668,36
Berkeley SD 87,"Northlake, Berkeley",851,188,714,18
Homewood Flossmoor CHSD 233,Flossmoor,2724,1868,619,57
Argo CHSD 217,Summit,1831,243,762,38
Carbon Cliff-Barstow SD 36,Silvis,291,89,262,6
Joliet PSD 86,Joliet,11059,2495,10870,227
Mount Vernon SD 80,Mount Vernon,1389,388,1143,28
Oak Park ESD 97,Oak Park,6094,1067,1100,119
Waukegan CUSD 60,Waukegan,16146,2327,11394,311
Willow Springs SD 108,Willow Springs,365,16,224,7
Woodridge SD 68,Woodridge,2935,401,1336,56
Westchester SD 92-5,Westchester,1131,277,418,21
Galesburg CUSD 205,Galesburg,4225,576,2607,77
Bloomington SD 87,Bloomington,5066,1146,2935,88
Carbondale CHSD 165,Carbondale,988,280,579,17
Thornton SD 154,Thornton,237,53,81,4
Salt Creek SD 48,"Oakbrook Terrace, Elmhurst, Villa Park",482,39,196,8
Steger SD 194,Steger,1452,397,1122,24
Rhodes SD 84-5,River Grove,693,44,571,11
Chicago Ridge SD 127-5,Chicago Ridge,1451,117,879,23
Laraway CCSD 70C,Joliet,457,226,346,7
Miller Twp CCSD 210,Marseilles,198,0,41,3
Pleasant Valley SD 62,Peoria,530,281,477,8
Komarek SD 94,North Riverside,544,72,232,8
East Coloma - Nelson CESD 20,Rock Falls,273,7,129,4
Hillside SD 93,Hillside,480,217,352,7
Urbana SD 116,Urbana,4024,1424,2776,58
Oak Park - River Forest SD 200,Oak Park,3294,740,633,46
Keeneyville SD 20,"Hanover Park, Roselle",1508,231,599,21
Valley View CUSD 365U,"Bolingbrook, Romeoville",16520,3275,10268,229
Rockdale SD 84,Rockdale,291,24,218,4
Decatur SD 61,Decatur,8517,3919,4637,112
Mazon-Verona-Kinsman ESD 2C,Mazon,309,1,101,4
Homewood SD 153,Homewood,1939,939,729,25
Macomb CUSD 185,Macomb,1949,185,903,25
Rock Island SD 41,"Milan, Rock Island",6120,1947,3933,78
St Anne CHSD 302,Saint Anne,239,91,186,3
SD 45 DuPage County,"Lombard, Villa Park",3485,240,1743,43
Arbor Park SD 145,"Tinley Park, Oak Forest",1389,195,559,17
Kewanee CUSD 229,"Neponset, Kewanee",1843,188,1376,22
Oak Lawn-Hometown SD 123,"Hometown, Oak Lawn",3182,204,1443,37
Cicero SD 99,Cicero,12070,243,10673,139
Evanston CCSD 65,"Skokie, Evanston",7556,1657,2853,86
Chicago Lighthouse Chtr Sch,Chicago,176,175,163,2
Horizon Science Acad-McKinley Pk,Chicago,725,33,611,8
Summit SD 104,"Summit, Bedford Park",1824,94,1546,20
Silvis SD 34,"Silvis, East Moline",653,77,389,7
Richland GSD 88A,Crest Hill,934,136,412,10
CUSD 300,"Lake In The Hills, Lake in the Hills, Gilberts, Hampshire, Dundee, West Dundee, Algonquin, Sleepy Hollow, Carpentersville, Pingree Grove",20321,994,8794,215
Peoria SD 150,"Peoria, West Peoria",12634,7190,9167,131
East Moline SD 37,"East Moline, Silvis",2736,606,2680,28
Champaign CUSD 4,"Champaign, Savoy",9625,3364,5280,98
Queen Bee SD 16,Glendale Heights,1871,99,786,19
Mattoon CUSD 2,Mattoon,3282,142,1976,33
Lockport SD 91,Lockport,629,9,181,6
Maercker SD 60,"Westmont, Willowbrook, Clarendon Hills",1390,114,493,13
Plano CUSD 88,Plano,2410,238,1449,22
Pleasant Hill SD 69,Peoria,228,50,184,2
Joliet Twp HSD 204,Joliet,6388,1356,3999,55
Niles ESD 71,Niles,585,12,229,5
Unity Point CCSD 140,Carbondale,702,99,417,6
Aurora East USD 131,Aurora,13581,1018,10197,115
McLean County USD 5,"Bloomington, Hudson, Carlock, Towanda, Normal",13357,1582,4274,109
Pontiac CCSD 429,Pontiac,1247,42,729,10
Gurnee SD 56,"Wadsworth, Gurnee",2055,398,617,16
Hinsdale Twp HSD 86,"Hinsdale, Darien",4273,362,680,33
Zion-Benton Twp HSD 126,Zion,2590,713,1538,20
CUSD 201,Westmont,1300,102,481,10
Lyons SD 103,"Stickney, Lyons, Brookfield",2494,111,1762,19
Rantoul Township HSD 193,Rantoul,788,200,494,6
Mendota CCSD 289,Mendota,1187,26,649,9
J S Morton HSD 201,"Berwyn, Cicero",8186,318,7247,62
Oak Lawn CHSD 229,Oak Lawn,1726,114,665,13
Central Stickney SD 110,Chicago,400,3,287,3
Lombard SD 44,Lombard,3161,165,1033,23
Aurora West USD 129,"Aurora, North Aurora, Montgomery",11872,1344,6570,86
Galena USD 120,Galena,835,19,325,6
River Grove SD 85-5,River Grove,701,12,438,5
High Mount SD 116,Swansea,422,140,304,3
Cairo USD 1,Cairo,425,356,424,3
Berwyn South SD 100,Berwyn,3832,122,2908,27
North Palos SD 117,"Hickory Hills, Palos Hills",3329,168,1977,23
Fairfield PSD 112,Fairfield,725,33,395,5
Schaumburg CCSD 54,"Hoffman Estates, Elk Grove Village, Hanover Park, Schaumburg, Roselle",14220,851,2892,97
Burbank SD 111,Burbank,3542,57,1935,24
Addison SD 4,Addison,4001,80,2668,27
Forest Ridge SD 142,Oak Forest,1649,137,636,11
Mannheim SD 83,"Northlake, Melrose Park",2556,34,1975,17
SD U-46,"Carol Stream, Elgin, Hanover Park, Hoffman Estates, South Elgin, Wayne, Bartlett, Streamwood",38486,2384,23480,249
Worth SD 127,Worth,1095,36,601,7
Chaney-Monge SD 88,Crest Hill,471,53,322,3
Downers Grove GSD 58,Downers Grove,5140,200,599,32
