from_home_rcdts,from_home_school,from_serving_rcdts,from_serving_school,to_home_rcdts,to_home_school,to_home_district,to_serving_rcdts,to_serving_school,to_serving_district,student_id_no,school_year,enrollment_date,exit_date,exit_code,exit_desc
150162990252393,Parkman Elem School,150162990252393,Parkman Elem School,041012050250001,Auburn High School,Rockford SD 205,041012050250005,,,2262865,2010,09/08/09,01/29/10,1,Transfer to another public school district
150162990252240,Hamilton Elem School,150162990252240,Hamilton Elem School,041012050252059,A C Thompson Elem School,Rockford SD 205,041012050252059,A C Thompson Elem School,Rockford SD 205,2410029,2010,09/08/09,06/23/10,1,Transfer to another public school district
150162990252401,Washington  H Elem School,150162990252401,Washington  H Elem School,041012050251009,Abraham Lincoln Middle School,Rockford SD 205,041012050251009,Abraham Lincoln Middle School,Rockford SD 205,2095476,2010,09/08/09,11/05/09,1,Transfer to another public school district
150162990252337,Mayer Elem School,150162990252337,Mayer Elem School,041012050251009,Abraham Lincoln Middle School,Rockford SD 205,041012050251009,Abraham Lincoln Middle School,Rockford SD 205,2339615,2010,09/08/09,10/07/09,1,Transfer to another public school district
150162990250766,Robeson High School,150162990250766,Robeson High School,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,1236346,2010,09/15/09,11/23/09,1,Transfer to another public school district
150162990250036,Schurz High School,150162990250036,Schurz High School,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,1516001,2010,02/04/10,04/10/10,4,Transfer to Private School
150162990252525,Young Elem School,150162990252525,Young Elem School,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,1535207,2010,08/10/09,08/25/09,11,"Moved, not known to be continuing"
150162990250766,Robeson High School,150162990250766,Robeson High School,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,2161267,2010,09/08/09,09/09/09,1,Transfer to another public school district
150162990250017,Harper High School,150162990250017,Harper High School,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,2185240,2010,07/01/09,09/08/09,11,"Moved, not known to be continuing"
150162990252605,Depriest Elem School,150162990252605,Depriest Elem School,041012050250001,Auburn High School,Rockford SD 205,041012050250001,Auburn High School,Rockford SD 205,2271127,2010,08/10/09,09/29/09,1,Transfer to another public school district
