city,count
Calumet City,125
Berwyn,115
Cicero,88
Dolton,78
Lansing,74
South Holland,73
Aurora,72
Oak Lawn,68
Chicago Heights,65
Evanston,65
Bolingbrook,61
Oak Park,58
Skokie,55
Burbank,54
Plainfield,53
Maywood,52
Rockford,50
Harvey,49
Waukegan,45
Springfield,45
Blue Island,43
Chicago,43
Joliet,43
Crete,41
Country Club Hills,39
Evergreen Park,38
Park Forest,38
Naperville,36
Flossmoor,36
Bellwood,35
Elgin,32
Richton Park,30
Carpentersville,29
Matteson,29
Hillside,28
Darien,27
Olympia Fields,27
Justice,26
Midlothian,25
Elmwood Park,25
Palatine,24
Palos Heights,23
Schaumburg,23
Summit,23
Des Plaines,21
Sauk Village,21
Broadview,21
Franklin Park,20
Riverdale,20
Hazel Crest,19
Bloomington,19
Danville,19
Hoffman Estates,17
Alsip,17
Romeoville,17
Oak Forest,17
Tinley Park,17
Peoria,17
Westchester,16
Downers Grove,16
Dekalb,16
Champaign,15
Palos Hills,15
Freeport,15
Markham,15
Wheaton,15
Park Ridge,15
Calumet Park,14
Melrose Park,14
Oswego,14
Zion,13
Niles,13
North Chicago,13
Streamwood,13
Decatur,13
Bensenville,13
Wheeling,12
Villa Park,12
Lombard,11
Orland Park,11
Carbondale,11
Rock Island,11
Mt Prospect,11
Elk Grove Village,11
Glenwood,11
Berkeley,10
Glen Ellyn,10
Morton Grove,10
La Grange,10
Woodridge,10
Addison,9
Willowbrook,9
Glenview,9
Mundelein,9
Bridgeview,9
Forest Park,9
Rantoul,9
Bartlett,9
Hanover Park,9
Lynwood,9
Gurnee,9
Dixmoor,9
Crest Hill,8
Riverside,8
Kankakee,8
River Grove,8
Galesburg,7
DeKalb,7
De Kalb,7
Posen,7
Robbins,7
Hickory Hills,7
Round Lake,7
Steger,7
Carol Stream,6
East Moline,6
Chicago Ridge,6
Belvidere,6
Brookfield,6
Northlake,6
Urbana,6
Normal,6
Westmont,6
Yorkville,6
University Park,5
Fisher,5
Minooka,5
Elmhurst,5
Algonquin,5
Lake Villa,5
Arlington Heights,5
Roselle,5
Homewood,5
Lyons,5
Glendale Heights,5
St Charles,5
Crystal Lake,5
Mendota,5
Antioch,5
Lockport,5
Beecher,5
Saint Charles,5
West Peoria,4
Fairfield,4
Burnham,4
Highland Park,4
Orland Hills,4
Buffalo Grove,4
West Chicago,4
Hometown,4
Great Lakes,4
Monee,4
Worth,3
Lake in the Hills,3
Kewanee,3
Bedford Park,3
Libertyville,3
Manteno,3
Frankfort,3
Vernon Hills,3
Chatham,3
Woodstock,3
South Chicago Heights,3
Winfield,3
Mount Vernon,3
Shorewood,3
Beach Park,3
Stickney,3
Long Grove,3
South Elgin,3
Burr Ridge,3
Barrington,3
Phoenix,3
Palos Park,3
Harrisburg,2
Crestwood,2
La Salle,2
Charleston,2
Norridge,2
Hopkins Park,2
Gages Lake,2
Plano,2
Mattoon,2
Bradley,2
Warren,2
North Aurora,2
Pontiac,2
Streator,2
Coal City,2
Hinsdale,2
Oakbrook Terrace,2
Ottawa,2
Round Lake Heights,2
Belleville,2
North Riverside,2
Silvis,2
Round Lake Park,2
Warrenville,2
Mounds,2
Machesney Park,2
Rockton,2
East Saint Louis,2
Wauconda,2
Fox Lake,2
Rochelle,2
Morris,2
Nashville,1
Avon,1
Thawville,1
Dixon,1
Macomb,1
Sterling,1
Lemont,1
Carmi,1
Carrier Mills,1
Thornton,1
River Forest,1
Clarendon Hills,1
West Frankfort,1
La Grange Park,1
Orion,1
Pana,1
Mokena,1
Lincolnshire,1
New Lenox,1
McHenry,1
Vienna,1
Cullom,1
Thomasboro,1
Loves Park,1
Joppa,1
Montgomery,1
Waverly,1
Medinah,1
Clinton,1
Rolling Meadows,1
Breese,1
Batavia,1
Winnetka,1
Forrest,1
Schiller Park,1
West Dundee,1
Bourbonnais,1
Cahokia,1
Waltonville,1
Island Lake,1
Bunker Hill,1
Saint Anne,1
Ashton,1
Merrionette Park,1
Homer Glen,1
Geneva,1
Cortland,1
Poplar Grove,1
Maple Park,1
Alton,1
Dunlap,1
Lincolnwood,1
Georgetown,1
Wadsworth,1
Donovan,1
Morton,1
