name,rcdts,cps_id,address,comm_area,pct_black,2010,2011,2012,2013,2014,2015,2016,2017,total
Urban Prep Chtr Acad Englewood HS,15016299025010C,400086,6201 S Stewart Ave,ENGLEWOOD,0.99,2,1,9,4,2,8,3,9,38
IHSCA Charter High School,15016299025012C,400104,2520 S Western Ave,LOWER WEST SIDE,0.03,0,2,0,1,3,2,2,6,16
Urban Prep Chtr Acad Bronzeville HS,15016299025013C,400105,521 E 35th St,DOUGLAS,0.98,0,3,3,3,3,5,5,10,32
EPIC Academy High School,15016299025015C,400094,8255 S Houston Ave,SOUTH CHICAGO,0.63,0,0,4,5,7,6,7,3,32
Urban Prep Chtr Acad West Campus HS,15016299025016C,400102,1326 W 14th Pl,NEAR WEST SIDE,0.99,0,0,3,3,2,1,4,2,15
Legal Prep Academy Charter HS,15016299025019C,400119,4319 W Washington Blvd,WEST GARFIELD PARK,0.99,0,0,0,2,4,3,3,13,25
Intrinsic Charter High School,15016299025022C,400162,4540 W Belmont Ave,IRVING PARK,0.05,0,0,0,0,1,2,7,11,21
IJLA Charter High School,15016299025020C,400164,2520 S Western Ave,,0.01,0,0,0,0,0,0,0,0,0
Asian Human Services -Passage Chrtr,15016299025214C,400060,1643 W Bryn Mawr Ave,EDGEWATER,0.45,2,9,8,12,8,13,4,25,81
Chicago Math & Sci Elem Charter,15016299025217C,400035,7212 N Clark St,ROGERS PARK,0.3,6,5,2,9,7,2,2,10,43
Namaste Elem Charter School,15016299025218C,400050,3737 S Paulina St,MCKINLEY PARK,0.03,2,2,1,4,10,3,2,7,31
Erie Elem Charter School,15016299025219C,400039,1405 N Washtenaw Ave,WEST TOWN,0.13,2,2,3,5,4,3,2,1,22
Legacy Elem Charter School,15016299025221C,400049,4217 W 18th St,NORTH LAWNDALE,0.98,4,7,2,8,1,3,4,7,36
Providence-Englewood Elem Charter,15016299025224C,400071,6515 S Ashland Ave,WEST ENGLEWOOD,0.96,3,6,0,3,0,1,2,7,22
Chicago Virtual Charter School,15016299025225C,400036,38 S Peoria St,NEAR WEST SIDE,0.52,9,5,6,17,5,4,7,10,63
Polaris Elem Charter Academy,15016299025226C,400069,620 N Sawyer Ave,HUMBOLDT PARK,0.89,10,2,3,2,4,10,3,12,46
Academy for Global Citizenship,15016299025229C,400009,4647 W 47th St,GARFIELD RIDGE,0.04,0,0,0,1,1,4,5,13,24
Rowe Elementary,15016299025230C,400096,1424 N Cleaver St,WEST TOWN,0.17,0,1,2,2,1,4,3,5,18
Nkrumah Academy Charter ES,15016299025231C,400045,314 W 108th St,ROSELAND,1.0,0,0,3,3,0,3,10,3,22
Catalyst Charter - Maria ES,15016299025232C,400115,6727 S California Ave,CHICAGO LAWN,0.46,0,0,0,1,6,4,6,21,38
