city,county,2010,2011,2012,2013,2014,2015,2016,2017,total,charter_total
Cicero,Cook,207,211,237,250,206,174,210,266,1761,88
Calumet City,Cook,134,105,136,142,124,116,130,202,1089,125
Berwyn,Cook,117,124,123,168,98,98,135,176,1039,115
Rockford,Winnebago,119,118,76,123,114,112,138,189,989,50
Skokie,Cook,89,112,101,135,89,88,74,155,843,55
Evanston,Cook,92,100,72,127,86,81,90,150,798,65
Joliet,Will,102,112,72,120,100,83,83,116,788,41
Harvey,Cook,120,94,71,138,83,74,76,103,759,49
Dolton,Cook,79,74,70,124,68,76,83,120,694,78
Waukegan,Lake,50,65,65,110,67,86,94,133,670,45
Oak Lawn,Cook,63,72,56,97,60,62,84,159,653,68
Burbank,Cook,63,56,63,100,71,42,70,151,616,54
Maywood,Cook,75,61,68,85,71,66,70,67,563,52
Springfield,Sangamon,67,83,66,65,57,73,84,59,554,45
Lansing,Cook,61,57,34,80,71,58,72,92,525,74
Chicago Heights,Cook,72,72,53,64,49,54,71,89,524,65
Bolingbrook,Will,60,69,64,66,47,41,59,116,522,60
Des Plaines,Cook,61,67,67,73,43,60,61,84,516,21
Oak Park,Cook,60,67,42,89,34,43,62,88,485,58
Aurora,Kane,66,44,69,81,41,49,67,64,481,34
Danville,Vermilion,66,64,63,63,47,45,80,45,473,19
Riverdale,Cook,61,87,50,71,49,37,53,61,469,20
Plainfield,Will,49,52,55,52,45,61,65,87,466,51
South Holland,Cook,60,59,43,84,53,41,50,75,465,73
Elmwood Park,Cook,46,49,43,78,49,36,47,114,462,25
Naperville,Dupage,45,42,31,43,40,50,49,86,386,36
Elgin,Kane,60,32,71,42,39,32,45,62,383,32
Bellwood,Cook,48,47,42,63,35,26,45,70,376,35
Carpentersville,Kane,67,49,45,34,47,47,32,48,369,29
Country Club Hills,Cook,52,26,28,62,31,38,53,74,364,39
Summit,Cook,45,51,37,68,34,21,41,54,351,23
Blue Island,Cook,52,35,40,69,27,28,39,57,347,43
Park Ridge,Cook,38,35,25,46,33,24,40,72,313,15
Northlake,Cook,31,34,43,52,27,22,40,62,311,6
Melrose Park,Cook,29,20,36,42,35,23,52,70,307,14
Park Forest,Cook,38,24,33,51,35,36,27,48,292,36
Norridge,Cook,27,30,41,47,36,31,31,33,276,2
Palatine,Cook,39,33,32,28,33,26,24,60,275,24
Matteson,Cook,32,36,24,22,43,35,33,46,271,29
Niles,Cook,32,27,33,44,27,22,31,53,269,13
Chicago,Cook,3,8,11,50,29,23,41,95,260,35
Calumet Park,Cook,58,31,37,36,23,28,17,30,260,14
Midlothian,Cook,17,25,21,45,29,30,48,42,257,25
Evergreen Park,Cook,20,25,25,38,21,23,41,64,257,38
Peoria,Peoria,23,30,31,40,29,31,38,31,253,17
Glenview,Cook,31,15,31,31,30,28,25,58,249,9
Markham,Cook,19,24,16,36,12,34,37,67,245,15
Elk Grove Village,Cook,24,30,19,40,30,26,26,47,242,11
Sauk Village,Cook,24,23,24,30,24,40,30,47,242,21
Flossmoor,Cook,30,32,16,41,21,18,31,49,238,36
Justice,Cook,31,43,23,32,12,26,25,44,236,26
Alsip,Cook,19,20,22,40,18,31,35,50,235,17
Mt Prospect,Cook,13,29,17,33,25,18,44,53,232,11
Hoffman Estates,Cook,23,28,26,34,19,12,28,59,229,14
Romeoville,Will,29,28,18,29,28,31,30,36,229,17
River Grove,Cook,26,26,28,26,17,12,36,45,216,8
Morton Grove,Cook,22,29,16,29,15,25,34,45,215,10
Franklin Park,Cook,17,32,20,28,31,9,25,48,210,20
Hillside,Cook,44,30,31,35,19,15,26,9,209,28
Addison,Dupage,18,29,19,32,35,22,24,29,208,9
Zion,Lake,26,13,31,34,24,24,27,27,206,13
Chicago,Dept Of Corrections,15,25,29,28,47,18,21,22,205,8
Aurora,Dupage,27,11,14,32,34,21,37,27,203,31
Hazel Crest,Cook,22,31,19,32,15,15,28,40,202,19
Dixmoor,Cook,29,22,30,33,20,24,15,27,200,9
Schaumburg,Cook,26,23,15,17,31,13,28,46,199,23
Streamwood,Kane,16,19,17,24,18,19,24,55,192,13
Kankakee,Kankakee,28,36,17,26,19,16,14,32,188,8
Lombard,Dupage,41,13,16,28,24,15,18,31,186,11
Crete,Will,16,13,22,29,26,17,22,38,183,41
Bloomington,McLean,14,28,16,14,8,29,40,31,180,19
Oak Forest,Cook,21,26,9,25,24,20,21,29,175,17
Richton Park,Cook,17,15,17,34,20,19,18,32,172,30
Glendale Heights,Dupage,32,22,23,26,10,13,21,25,172,5
Decatur,Macon,19,17,29,17,16,45,13,15,171,13
Champaign,Champaign,24,13,13,13,20,21,20,42,166,15
Downers Grove,Dupage,17,34,17,22,11,5,20,36,162,16
Darien,Dupage,15,22,28,23,13,13,16,31,161,27
Bridgeview,Cook,22,29,15,18,23,12,23,19,161,9
Palos Hills,Cook,22,16,13,29,18,15,22,23,158,15
Palos Heights,Cook,16,11,10,38,24,13,7,36,155,23
Bensenville,Dupage,25,7,17,24,15,9,28,26,151,13
Olympia Fields,Cook,20,21,15,24,8,13,17,33,151,27
Orland Park,Cook,14,9,16,22,20,10,14,40,145,11
Wheeling,Cook,14,26,17,18,13,16,15,22,141,12
Lyons,Cook,14,23,17,15,16,14,17,24,140,5
Rock Island,Rock Island,15,9,14,16,21,12,27,24,138,11
Freeport,Stephenson,12,17,19,11,10,17,25,26,137,15
Saint Charles,Dept Of Corrections,42,25,20,25,,10,7,6,135,4
Dekalb,Dekalb,11,15,18,32,17,13,11,17,134,16
Forest Park,Cook,24,8,18,19,16,15,10,24,134,9
Normal,McLean,23,12,20,17,10,19,18,14,133,6
Schiller Park,Cook,15,21,12,24,9,17,11,23,132,1
Tinley Park,Cook,14,9,10,17,18,21,16,26,131,16
Broadview,Cook,19,15,12,11,8,17,17,31,130,21
North Chicago,Lake,8,11,12,23,17,18,16,22,127,13
Wheaton,Dupage,9,21,19,15,17,13,15,18,127,15
Galesburg,Knox,14,14,24,31,9,15,10,7,124,7
La Grange,Cook,13,4,13,22,15,14,16,25,122,10
Lockport,Will,19,9,19,18,13,15,19,8,120,5
Villa Park,Dupage,13,14,8,16,16,10,15,28,120,12
Hickory Hills,Cook,15,20,10,11,11,9,17,24,117,7
Woodridge,Dupage,15,12,16,18,10,7,14,19,111,10
