comm_area,city,count
SOUTH LAWNDALE,Cicero,293
WEST RIDGE,Skokie,275
ROGERS PARK,Evanston,146
BELMONT CRAGIN,Cicero,144
BELMONT CRAGIN,Elmwood Park,119
WEST RIDGE,Evanston,115
AUSTIN,Rockford,106
AUSTIN,Bellwood,105
LOWER WEST SIDE,Cicero,102
AUSTIN,Maywood,99
SOUTH LAWNDALE,Berwyn,99
GAGE PARK,Cicero,93
BRIGHTON PARK,Cicero,93
BELMONT CRAGIN,Berwyn,84
EDGEWATER,Skokie,81
ASHBURN,Oak Lawn,78
ROSELAND,Calumet City,77
AUSTIN,Cicero,74
ASHBURN,Burbank,74
BELMONT CRAGIN,Melrose Park,71
AUSTIN,Oak Park,68
NORWOOD PARK,Park Ridge,66
LOGAN SQUARE,Cicero,65
AUSTIN,Berwyn,64
BELMONT CRAGIN,Northlake,64
ROSELAND,Harvey,62
WEST TOWN,Cicero,61
ROGERS PARK,Skokie,61
SOUTH SHORE,Calumet City,61
AUBURN GRESHAM,Calumet City,59
WEST RIDGE,Des Plaines,59
WEST RIDGE,Niles,58
HUMBOLDT PARK,Cicero,58
HUMBOLDT PARK,Rockford,58
WEST PULLMAN,Harvey,57
WEST TOWN,Berwyn,55
DUNNING,Norridge,54
WEST RIDGE,Morton Grove,54
DUNNING,Elmwood Park,54
UPTOWN,Evanston,53
ROSELAND,Dolton,52
AUSTIN,Springfield,51
ROSELAND,Riverdale,51
SOUTH LAWNDALE,Joliet,51
ENGLEWOOD,Harvey,51
SOUTH CHICAGO,Calumet City,49
PORTAGE PARK,Des Plaines,49
NEW CITY,Cicero,49
AUSTIN,Aurora,49
EDGEWATER,Evanston,48
BRIGHTON PARK,Berwyn,47
LAKE VIEW,Evanston,47
LINCOLN SQUARE,Skokie,47
ALBANY PARK,Skokie,47
WASHINGTON HEIGHTS,Calumet City,46
EAST GARFIELD PARK,Maywood,46
IRVING PARK,Cicero,46
AUSTIN,Carpentersville,45
WEST PULLMAN,Calumet City,43
CLEARING,Burbank,43
NEW CITY,Joliet,42
BELMONT CRAGIN,River Grove,42
SOUTH SHORE,Rockford,42
BRIGHTON PARK,Burbank,42
NORWOOD PARK,Norridge,41
GAGE PARK,Burbank,41
WEST PULLMAN,Riverdale,41
WEST ENGLEWOOD,Calumet City,41
HUMBOLDT PARK,Maywood,41
GARFIELD RIDGE,Burbank,39
AUSTIN,Bolingbrook,38
ENGLEWOOD,Calumet City,38
ROSELAND,South Holland,38
WEST ENGLEWOOD,Harvey,38
IRVING PARK,Berwyn,38
SOUTH LAWNDALE,Bolingbrook,38
HUMBOLDT PARK,Aurora,38
ENGLEWOOD,Rockford,38
GAGE PARK,Joliet,37
UPTOWN,Skokie,37
LOWER WEST SIDE,Berwyn,37
AUSTIN,Hillside,37
ENGLEWOOD,Dolton,37
AUSTIN,Dekalb,37
PORTAGE PARK,Norridge,37
ALBANY PARK,Cicero,36
AUSTIN,Forest Park,36
WEST ENGLEWOOD,Dolton,36
GREATER GRAND CROSSING,Calumet City,36
EAST GARFIELD PARK,Chicago,36
ENGLEWOOD,Danville,36
CHICAGO LAWN,Cicero,36
WEST ENGLEWOOD,Rockford,36
HERMOSA,Cicero,36
NORTH LAWNDALE,Rockford,36
GAGE PARK,Berwyn,36
WEST PULLMAN,Dolton,36
ROSELAND,Chicago Heights,35
PORTAGE PARK,Cicero,35
CHATHAM,Calumet City,35
AUSTIN,Joliet,35
MCKINLEY PARK,Chicago,34
WEST GARFIELD PARK,Rockford,34
WEST PULLMAN,Calumet Park,34
ROGERS PARK,Waukegan,34
WEST RIDGE,Lincolnwood,34
HUMBOLDT PARK,Berwyn,34
HUMBOLDT PARK,Waukegan,33
PORTAGE PARK,Elmwood Park,33
SOUTH SHORE,Springfield,32
AUBURN GRESHAM,Riverdale,32
EAST SIDE,Calumet City,32
WEST RIDGE,Park Ridge,32
WEST ELSDON,Burbank,32
BELMONT CRAGIN,Aurora,32
SOUTH SHORE,Riverdale,32
OHARE,Des Plaines,32
BELMONT CRAGIN,Des Plaines,31
WEST LAWN,Burbank,31
WEST TOWN,Oak Park,31
GREATER GRAND CROSSING,Joliet,31
MCKINLEY PARK,Cicero,31
CHICAGO LAWN,Harvey,31
AUBURN GRESHAM,Rockford,31
BRIGHTON PARK,Joliet,31
WEST PULLMAN,South Holland,31
ASHBURN,Evergreen Park,31
GAGE PARK,Oak Lawn,31
SOUTH SHORE,Dolton,31
WOODLAWN,Calumet City,31
IRVING PARK,Elmwood Park,30
BELMONT CRAGIN,Franklin Park,30
ALBANY PARK,Norridge,30
WEST RIDGE,Glenview,30
CHICAGO LAWN,Rockford,30
EAST GARFIELD PARK,Rockford,30
IRVING PARK,Skokie,30
ENGLEWOOD,Chicago Heights,29
AUBURN GRESHAM,Joliet,29
SOUTH LAWNDALE,Burbank,29
ASHBURN,Cicero,29
GARFIELD RIDGE,Oak Lawn,29
SOUTH LAWNDALE,Summit,29
DOUGLAS,Dolton,29
SOUTH SHORE,Danville,29
EAST SIDE,Lansing,29
ROSELAND,Lansing,29
BELMONT CRAGIN,Elgin,29
SOUTH LAWNDALE,Aurora,29
GAGE PARK,Summit,28
CHICAGO LAWN,Joliet,28
ALBANY PARK,Des Plaines,28
WEST ENGLEWOOD,Springfield,28
BELMONT CRAGIN,Elk Grove Village,28
