district,count
Quincy SD 172,33
Brown County CUSD 1,4
Beardstown CUSD 15,16
Jacksonville SD 117,22
Western CUSD 12,1
Winchester CUSD 1,1
Bond County CUSD 2,3
Taylorville CUSD 3,9
Pana CUSD 8,6
Effingham CUSD 40,8
Vandalia CUSD 203,2
Ramsey CUSD 204,1
Hillsboro CUSD 3,2
Litchfield CUSD 12,1
Belvidere CUSD 100,127
North Boone CUSD 200,12
Harlem UD 122,33
Kinnikinnick CCSD 131,1
Prairie Hill CCSD 133,2
Rockton SD 140,5
Rockford SD 205,1088
Hononegah CHD 207,5
County of Winnebago SD 320,2
Pecatonica CUSD 321,2
Durand CUSD 322,4
Winnebago CUSD 323,4
Palatine CCSD 15,323
Wheeling CCSD 21,191
Prospect Heights SD 23,26
Arlington Heights SD 25,36
River Trails SD 26,35
Northbrook ESD 27,3
Northbrook SD 28,5
Sunset Ridge SD 29,2
Northbrook/Glenview SD 30,13
West Northfield SD 31,22
Glenview CCSD 34,59
Glencoe SD 35,8
Winnetka SD 36,3
Avoca SD 37,6
Kenilworth SD 38,2
Wilmette SD 39,22
Schaumburg CCSD 54,396
Mount Prospect SD 57,24
Comm Cons SD 59,314
CCSD 62,247
East Maine SD 63,184
Park Ridge CCSD 64,97
Evanston CCSD 65,563
Golf ESD 67,15
Skokie SD 68,101
Skokie SD 69,150
Morton Grove SD 70,23
Niles ESD 71,41
Fairview SD 72,37
East Prairie SD 73,25
Skokie SD 73-5,36
Lincolnwood SD 74,65
Evanston Twp HSD 202,144
New Trier Twp HSD 203,5
Maine Township HSD 207,145
Township HSD 211,188
Township HSD 214,118
Niles Twp HSD 219,111
Northfield Twp HSD 225,18
Rosemont ESD 78,27
Pennoyer SD 79,45
Norridge SD 80,101
Schiller Park SD 81,124
Mannheim SD 83,224
Franklin Park SD 84,112
Rhodes SD 84-5,80
River Grove SD 85-5,114
Union Ridge SD 86,144
Berkeley SD 87,104
Bellwood SD 88,534
Maywood-Melrose Park-Broadview 89,989
River Forest SD 90,21
Forest Park SD 91,225
Lindop SD 92,87
Westchester SD 92-5,59
Hillside SD 93,50
Komarek SD 94,25
Brookfield Lagrange Park SD 95,19
Riverside SD 96,25
Oak Park ESD 97,329
Berwyn North SD 98,732
Cicero SD 99,3003
Berwyn South SD 100,542
Western Springs SD 101,12
La Grange SD 102,87
Lyons SD 103,291
La Grange SD 105 South,74
LaGrange Highlands SD 106,5
Pleasantdale SD 107,5
Oak Park - River Forest SD 200,173
J S Morton HSD 201,1009
Lyons Twp HSD 204,46
Riverside-Brookfield Twp SD 208,27
Proviso Twp HSD 209,709
Leyden CHSD 212,143
Ridgewood CHSD 234,58
Elmwood Park CUSD 401,466
Summit SD 104,275
Willow Springs SD 108,63
Indian Springs SD 109,495
Central Stickney SD 110,130
Burbank SD 111,331
Lemont-Bromberek CSD 113A,13
North Palos SD 117,126
Palos CCSD 118,30
Ridgeland SD 122,144
Oak Lawn-Hometown SD 123,249
Evergreen Park ESD 124,228
Atwood Heights SD 125,105
Alsip-Hazlgrn-Oaklwn SD 126,152
Worth SD 127,68
Chicago Ridge SD 127-5,114
Palos Heights SD 128,9
Cook County SD 130,525
Calumet Public SD 132,484
