city,count
Cicero,1658
Berwyn,923
Calumet City,922
Rockford,886
Skokie,804
Joliet,719
Evanston,707
Aurora,652
Harvey,641
Oak Lawn,586
Waukegan,582
Dolton,576
Burbank,559
Des Plaines,487
Maywood,483
Bolingbrook,472
Springfield,466
Lansing,444
Chicago Heights,439
Elmwood Park,435
Plainfield,426
Oak Park,422
Danville,419
Chicago,407
Riverdale,404
South Holland,389
Naperville,350
Elgin,345
Summit,321
Country Club Hills,314
Bellwood,310
Blue Island,307
Carpentersville,306
Park Ridge,301
Northlake,300
Melrose Park,289
Park Forest,281
Norridge,271
Niles,263
Palatine,255
Glenview,245
Markham,230
Elk Grove Village,228
Peoria,226
Matteson,225
Calumet Park,224
Midlothian,223
Hoffman Estates,221
Mt Prospect,219
Romeoville,217
Sauk Village,216
Evergreen Park,215
Alsip,210
Morton Grove,209
Flossmoor,209
Justice,204
River Grove,203
Addison,198
Franklin Park,195
Streamwood,185
Hazel Crest,182
Schaumburg,180
Hillside,178
Zion,175
Lombard,174
Dixmoor,173
Kankakee,170
Bloomington,164
Glendale Heights,161
Decatur,157
Hanover Park,156
Oak Forest,154
Champaign,152
Downers Grove,151
Crete,148
Bridgeview,144
Palos Hills,142
Saint Charles,142
Lyons,137
Orland Park,136
Darien,135
Wheeling,133
Richton Park,133
Bensenville,133
Rock Island,131
Palos Heights,130
Olympia Fields,130
Schiller Park,129
Tinley Park,122
Freeport,120
Dekalb,115
La Grange,113
Forest Park,113
Wheaton,110
Normal,109
Lockport,108
Broadview,108
Hickory Hills,108
Villa Park,107
North Chicago,107
Wilmette,105
Lincolnwood,104
Galesburg,103
Woodridge,100
Elmhurst,99
Glen Ellyn,98
Glenwood,95
Northbrook,95
Arlington Heights,94
Gurnee,91
Crystal Lake,91
Buffalo Grove,90
Posen,88
Urbana,83
Rolling Meadows,82
Berkeley,82
Burr Ridge,82
DeKalb,81
Carol Stream,80
Brookfield,80
Kewanee,79
Chicago Ridge,78
Carbondale,78
Lake Villa,77
Riverside,75
Oswego,74
Willowbrook,73
Mundelein,73
Harwood Heights,70
South Elgin,70
Robbins,70
Worth,69
Roselle,68
West Chicago,68
Bartlett,67
Round Lake,64
Steger,64
University Park,64
Highland Park,63
Crestwood,60
Westchester,60
Willow Springs,60
Stickney,59
Belvidere,59
Algonquin,56
Rantoul,56
La Grange Park,54
Homewood,53
Minooka,52
Antioch,52
Manteno,52
Frankfort,49
Round Lake Beach,49
Vernon Hills,48
Round Lake Heights,48
Warrenville,48
Mount Vernon,46
Woodstock,46
De Kalb,45
Phoenix,44
La Salle,44
Crest Hill,43
St Charles,43
Deerfield,41
East Moline,40
Plano,40
Prospect Heights,39
Yorkville,39
Barrington,39
Ford Heights,37
Wood Dale,37
Hinsdale,36
Westmont,36
River Forest,36
Mattoon,36
North Aurora,36
Lake in the Hills,36
Shorewood,35
North Riverside,35
Burnham,35
Macomb,35
Beach Park,35
Bloomingdale,34
Quincy,34
Merrionette Park,34
Homer Glen,33
New Lenox,33
McHenry,33
Winnetka,33
Hometown,33
Wadsworth,31
Bradley,31
Grayslake,29
Gages Lake,28
Montgomery,28
Lemont,28
Clarendon Hills,28
Northfield,28
Ottawa,27
Bourbonnais,27
Lynwood,27
Mendota,26
Moline,26
Chatham,25
Batavia,25
Geneva,25
Lincolnshire,24
Cary,24
Sterling,24
Lisle,23
