county,count
Cook,22690
Dupage,2678
Will,2467
Lake,1929
Kane,1771
Winnebago,948
Sangamon,494
Vermilion,436
Dept Of Corrections,410
McHenry,316
Kankakee,313
Champaign,308
Dekalb,300
McLean,275
Peoria,257
Rock Island,224
Kendall,203
Macon,160
La Salle,149
Stephenson,124
Knox,103
Grundy,88
Jackson,85
Saint Clair,73
Boone,69
Henry,56
Coles,53
Jefferson,50
Madison,49
McDonough,44
Ogle,38
Livingston,36
Whiteside,36
Adams,34
Williamson,33
Iroquois,28
Jo Daviess,23
Franklin,17
State Of Illinois,16
Tazewell,14
Lee,14
Woodford,14
Logan,13
Bureau,12
Shelby,11
Dewitt,11
Morgan,11
Marion,10
Wayne,9
Cass,9
Washington,8
Effingham,8
Christian,8
Macoupin,8
Montgomery,6
Massac,6
Perry,5
Putnam,5
Moultrie,5
Pope,5
Ford,4
Clark,4
Saline,4
Stark,4
Pulaski,4
Warren,3
Clinton,3
Alexander,3
Carroll,3
Mercer,3
Douglas,3
Crawford,3
,2
Richland,2
Union,2
White,2
Fulton,2
Randolph,2
Hamilton,1
Johnson,1
Greene,1
Clay,1
Pike,1
Marshall,1
Schuyler,1
Gallatin,1
Edwards,1
Piatt,1
Bond,1
