district,2010,2011,2012,2013,2014,2015,2016,2017,total,charter_total
Cicero SD 99,170,173,191,201,176,142,175,218,1446,45
Rockford SD 205,120,116,74,122,113,111,135,189,980,50
no district listed,116,106,113,115,105,83,98,80,816,35
SD U-46,106,73,109,94,85,67,87,172,793,59
Thornton Twp HSD 205,112,81,75,126,84,75,77,119,749,128
Valley View CUSD 365U,88,97,81,93,75,72,89,148,743,77
Waukegan CUSD 60,50,65,64,110,67,85,90,132,663,44
Dolton SD 148,66,82,68,121,67,58,71,101,634,40
Evanston CCSD 65,70,70,55,88,67,66,75,123,614,48
J S Morton HSD 201,63,79,79,88,58,52,77,105,601,102
Dolton SD 149,67,62,64,85,57,54,59,131,579,50
Maywood-Melrose Park-Broadview 89,64,45,57,63,76,62,94,115,576,40
Springfield SD 186,65,83,66,65,57,73,84,59,552,45
Joliet PSD 86,80,80,45,80,63,54,55,55,512,18
Plainfield SD 202,51,58,60,57,50,61,62,102,501,50
CUSD 300,86,57,49,49,58,57,43,78,477,32
Danville CCSD 118,66,64,63,63,47,45,80,45,473,19
Elmwood Park CUSD 401,46,49,43,78,49,36,47,114,462,25
Burbank SD 111,50,40,42,66,51,30,56,118,453,30
Schaumburg CCSD 54,50,48,35,56,64,38,54,93,438,33
CHSD 218,59,34,47,98,35,34,38,71,416,69
Berwyn North SD 98,51,58,51,72,39,29,45,60,405,30
Prairie-Hills ESD 144,40,55,32,67,29,45,47,89,404,34
Proviso Twp HSD 209,77,60,60,75,35,39,41,7,394,57
Indian Prairie CUSD 204,46,33,30,47,52,47,59,69,383,52
Harvey SD 152,49,54,40,73,41,38,38,47,380,7
Indian Springs SD 109,52,68,32,48,30,38,42,60,370,35
Bellwood SD 88,42,49,39,56,32,21,44,71,354,32
Berwyn South SD 100,40,24,39,57,29,48,48,59,344,26
Oak Park ESD 97,41,45,33,54,26,31,49,61,340,37
Thornton Fractional Twp HSD 215,63,26,24,61,34,39,30,61,338,76
Bremen CHSD 228,30,33,29,67,35,37,50,50,331,55
Comm Cons SD 59,27,41,32,30,38,37,45,66,316,11
DeKalb CUSD 428,27,34,43,54,42,30,35,47,312,31
Crete Monee CUSD 201U,30,24,29,41,32,28,43,79,306,52
Aurora East USD 131,53,23,40,48,30,38,40,34,306,15
Rich Twp HSD 227,40,38,35,63,24,30,29,46,305,62
East Maine SD 63,36,33,37,43,30,24,27,59,289,18
Cook County SD 130,42,27,28,43,30,32,33,52,287,19
Oak Lawn-Hometown SD 123,21,30,20,34,36,24,37,77,279,27
CCSD 62,30,33,33,47,21,34,36,40,274,12
Lansing SD 158,22,29,20,37,47,34,38,45,272,23
Palatine CCSD 15,36,31,34,32,35,22,23,52,265,13
Chicago Heights SD 170,37,33,35,25,25,23,36,49,263,15
Calumet Public SD 132,58,31,37,36,23,28,17,30,260,14
W Harvey-Dixmoor PSD 147,42,28,40,43,25,27,21,27,253,12
Niles Twp HSD 219,24,38,33,51,18,20,22,46,252,26
Mannheim SD 83,19,17,36,45,23,21,34,57,252,5
CCSD 168,24,23,24,30,24,40,30,47,242,21
Lyons SD 103,21,36,22,34,27,27,29,41,237,11
Peoria SD 150,21,28,28,34,33,30,31,27,232,19
Matteson ESD 162,26,21,27,26,36,25,24,47,232,27
Skokie SD 68,25,29,25,41,30,20,18,42,230,12
Maine Township HSD 207,31,26,20,34,17,16,29,45,218,18
Aurora West USD 129,15,31,37,39,14,14,32,35,217,21
Naperville CUSD 203,27,20,16,29,20,24,28,45,209,16
Township HSD 214,18,28,25,45,18,16,20,38,208,20
Summit SD 104,36,28,27,29,21,8,27,31,207,6
Skokie SD 69,24,20,25,25,21,28,22,42,207,13
Bloom Twp HSD 206,25,30,13,32,16,26,32,32,206,44
Calumet City SD 155,18,24,14,25,28,30,30,34,203,22
Country Club Hills SD 160,37,13,15,28,11,19,29,51,203,15
Park Ridge CCSD 64,18,22,21,26,23,18,23,49,200,1
ESD 159,23,24,14,16,31,26,27,36,197,21
North Palos SD 117,21,29,17,19,22,20,29,36,193,10
Park Forest SD 163,23,22,14,25,23,27,17,40,191,17
Leyden CHSD 212,12,31,23,37,15,12,21,38,189,18
Evergreen Park ESD 124,16,17,16,23,17,13,33,52,187,26
Township HSD 211,19,26,25,26,14,13,20,42,185,26
Kankakee SD 111,26,36,15,26,19,16,14,32,184,8
Evanston Twp HSD 202,21,30,14,40,18,17,14,27,181,19
Round Lake CUSD 116,20,27,18,26,25,22,12,29,179,11
Joliet Twp HSD 204,13,26,15,29,25,15,20,30,173,17
Posen-Robbins ESD 143-5,27,22,18,10,24,29,12,31,173,14
Champaign CUSD 4,25,14,14,15,20,21,20,42,171,15
Argo CHSD 217,16,25,16,41,17,13,18,25,171,20
Decatur SD 61,19,17,28,17,15,44,13,15,168,13
McLean County USD 5,26,19,21,21,10,23,30,18,168,8
Ridgeland SD 122,13,22,19,16,15,15,25,40,165,8
Wheeling CCSD 21,18,30,16,21,17,16,20,26,164,9
Reavis Twp HSD 220,13,16,21,34,20,12,14,33,163,24
CUSD 200,16,26,23,14,19,12,23,25,158,17
Hoover-Schrum Memorial SD 157,15,11,32,15,25,9,27,24,158,12
Midlothian SD 143,10,12,11,24,18,18,32,31,156,9
Lincoln ESD 156,26,18,21,17,10,23,18,23,156,15
Gen George Patton SD 133,27,37,14,22,14,9,18,14,155,0
Alsip-Hazlgrn-Oaklwn SD 126,9,11,12,30,13,18,24,37,154,9
South Holland SD 151,19,17,16,26,21,17,16,21,153,12
Addison SD 4,14,23,15,19,29,14,18,17,149,2
Flossmoor SD 161,19,18,6,21,12,12,22,36,146,15
Bloomington SD 87,11,20,15,10,8,25,28,27,144,17
Oak Park - River Forest SD 200,19,22,8,35,7,12,13,27,143,21
Glenview CCSD 34,19,6,13,14,23,17,11,39,142,4
Rock Island SD 41,16,9,15,15,21,12,27,27,142,11
Zion ESD 6,22,7,23,22,16,18,18,14,140,7
River Grove SD 85-5,15,16,20,16,13,6,23,28,137,8
Freeport SD 145,12,17,19,11,10,17,25,26,137,15
CUSD 308,14,5,16,23,17,12,18,32,137,23
Norridge SD 80,12,13,22,26,20,21,14,8,136,0
Cons HSD 230,22,9,10,37,13,8,14,22,135,21
Schiller Park SD 81,15,21,12,24,9,17,11,23,132,1
Forest Park SD 91,24,8,18,16,15,15,10,24,130,8
North Chicago SD 187,7,11,10,23,17,23,14,22,127,15
Glenbard Twp HSD 87,28,12,8,26,8,12,15,16,125,15
Marquardt SD 15,22,13,17,15,6,11,17,21,122,5
Galesburg CUSD 205,13,14,24,31,9,14,9,7,121,7
SD 45 DuPage County,13,12,6,11,30,7,12,23,114,9
CCSD 180,26,11,9,16,7,5,17,21,112,9
Woodridge SD 68,15,12,16,18,10,7,14,19,111,10
Brookwood SD 167,12,20,9,13,11,10,21,12,108,11
Lincolnwood SD 74,22,12,12,18,9,14,7,14,108,1
Bensenville SD 2,16,4,14,15,12,7,19,20,107,3
Homewood Flossmoor CHSD 233,14,14,11,23,9,7,11,18,107,23
Oak Lawn CHSD 229,7,11,8,19,7,12,15,27,106,18
DuPage HSD 88,6,9,9,23,11,12,11,23,104,13
Atwood Heights SD 125,7,16,13,13,10,15,11,19,104,6
Sunnybrook SD 171,9,15,10,14,11,10,17,16,102,16
Franklin Park SD 84,9,15,8,5,18,4,15,27,101,5
Wilmette SD 39,6,11,10,6,20,4,17,24,98,0
Ridgewood CHSD 234,10,10,11,18,9,5,15,18,96,2
Skokie SD 73-5,9,6,13,11,16,14,10,17,96,5
La Grange SD 102,13,5,10,10,18,14,10,16,96,3
Elmhurst SD 205,11,7,7,18,9,4,11,28,95,5
South Holland SD 150,12,15,5,13,9,7,13,20,94,17
Hazel Crest SD 152-5,4,6,5,12,4,13,22,27,93,2
Urbana SD 116,15,14,12,12,10,3,7,17,90,6
Fairview SD 72,9,15,6,11,6,13,9,18,87,3
Downers Grove GSD 58,8,19,11,11,5,2,10,21,87,10
Chicago Ridge SD 127-5,6,9,23,6,13,7,12,11,87,6
Orland SD 135,4,7,10,10,13,4,11,25,84,4
Hinsdale Twp HSD 86,8,10,12,13,9,1,10,18,81,19
Lombard SD 44,20,5,9,17,2,5,10,12,80,1
Rhodes SD 84-5,11,10,8,10,4,6,13,17,79,0
La Grange SD 105 South,9,6,10,7,7,12,12,15,78,2
Troy CCSD 30C,7,1,7,8,8,13,11,23,78,8
Berkeley SD 87,15,8,9,8,5,8,9,14,76,5
Worth SD 127,6,11,10,15,8,11,2,11,74,3
Crystal Lake CCSD 47,11,5,8,11,8,8,3,20,74,4
Woodland CCSD 50,6,2,9,3,11,12,16,14,73,4
Steger SD 194,7,3,3,11,9,7,19,14,73,7
Belvidere CUSD 100,9,8,12,9,8,9,9,7,71,6
Westchester SD 92-5,6,6,6,9,10,7,10,17,71,16
Niles ESD 71,8,4,10,14,7,5,14,9,71,0
Evergreen Park CHSD 231,4,8,9,15,4,10,8,12,70,12
Union Ridge SD 86,15,4,11,5,6,6,8,15,70,0
Darien SD 61,8,12,12,11,4,9,4,9,69,8
Morton Grove SD 70,8,17,4,5,2,6,14,12,68,2
Keeneyville SD 20,12,12,9,7,2,7,6,12,67,2
Zion-Benton Twp HSD 126,4,6,8,12,8,6,9,13,66,6
Horizon Science Acad-McKinley Pk,,,,27,14,10,5,10,66,14
St Charles CUSD 303,4,11,9,4,7,4,14,12,65,6
CHSD 99,8,15,4,11,5,3,7,10,63,6
Homewood SD 153,8,8,8,7,4,4,7,16,62,5
North Shore SD 112,4,7,3,14,9,3,8,13,61,1
Riverside SD 96,9,6,5,9,7,4,9,12,61,5
West Chicago ESD 33,12,9,10,13,2,,5,9,60,4
Willow Springs SD 108,12,4,8,4,6,9,4,13,60,0
Carbondale ESD 95,4,13,6,5,7,3,8,14,60,6
Queen Bee SD 16,10,10,7,12,4,5,7,5,60,0
Rantoul City SD 137,6,6,6,9,2,2,16,12,59,3
Huntley Comm Sch Dist 158,2,11,2,8,8,7,8,13,59,6
Central Stickney SD 110,3,8,11,5,7,4,6,15,59,4
Manteno CUSD 5,6,8,4,5,11,9,10,4,57,3
Arbor Park SD 145,7,10,4,7,7,3,8,11,57,6
Forest Ridge SD 142,8,9,4,5,11,10,8,2,57,3
Barrington CUSD 220,2,9,5,9,10,5,3,13,56,3
Hinsdale CCSD 181,3,6,14,7,5,,11,10,56,2
CCSD 146,9,1,4,2,10,10,2,18,56,8
River Trails SD 26,3,11,3,6,7,4,14,8,56,1
Glen Ellyn SD 41,3,16,8,8,4,2,9,5,55,1
CHSD 117,8,17,6,9,4,2,3,5,54,2
Gurnee SD 56,8,5,6,4,6,1,11,11,52,3
CCSD 93,5,6,5,9,4,5,7,10,51,1
Woodstock CUSD 200,6,4,5,7,17,4,2,4,49,3
Arlington Heights SD 25,4,5,2,5,8,3,8,13,48,3
Beach Park CCSD 3,4,5,10,8,4,5,8,4,48,3
Betty Shabazz  Internl Chrtr Sch,,,,,,,16,31,47,3
East Prairie SD 73,7,7,9,4,5,3,4,8,47,0
Lindop SD 92,11,6,4,4,2,3,7,10,47,9
Northfield Twp HSD 225,4,4,10,5,6,4,6,8,47,2
Yorkville CUSD 115,4,1,15,3,5,2,7,10,47,6
Kewanee CUSD 229,6,6,5,6,9,2,9,4,47,1
Lyons Twp HSD 204,5,3,7,10,2,4,5,10,46,7
Kirby SD 140,6,3,1,8,7,5,7,8,45,1
Hawthorn CCSD 73,,7,6,4,10,7,8,3,45,2
Lockport Twp HSD 205,4,1,7,12,4,3,10,4,45,4
Fenton CHSD 100,9,3,3,9,3,2,9,6,44,10
Pennoyer SD 79,5,7,8,3,7,5,2,7,44,0
Amandla Charter School,,,,,,,8,36,44,9
Mount Prospect SD 57,2,4,3,8,6,,4,16,43,0
Maercker SD 60,4,8,4,1,6,2,6,12,43,2
Antioch CCSD 34,5,8,3,4,4,2,4,13,43,4
Horizon Science Acad-Belmont,,,,18,8,9,4,3,42,5
Harlem UD 122,5,6,2,6,7,4,3,9,42,3
Plano CUSD 88,6,,2,8,3,4,8,11,42,2
Palos CCSD 118,3,4,5,5,4,5,5,11,42,3
Golf ESD 67,4,7,,7,4,4,6,9,41,0
Fairmont SD 89,5,4,8,4,7,7,6,,41,1
Mattoon CUSD 2,,2,3,1,6,9,12,7,40,2
Lake Villa CCSD 41,5,3,4,4,5,4,6,9,40,4
Prospect Heights SD 23,6,10,5,3,1,6,5,3,39,0
Grayslake CCSD 46,5,3,5,3,5,1,10,7,39,0
