Comm Area,pct_black,pct_latino,pct_white,pct_poverty,pct_under_18,2009,2010,2011,2012,2013,2014,2015,total
HERMOSA,0.01,0.88,0.07,0.2,0.28,92,64,84,62,61,98,53,514
HUMBOLDT PARK,0.41,0.52,0.05,0.31,0.3,232,209,236,197,183,194,187,1438
AUSTIN,0.83,0.11,0.04,0.26,0.26,305,353,312,317,279,347,287,2200
EAST GARFIELD PARK,0.91,0.04,0.04,0.43,0.3,172,151,181,158,198,205,145,1210
NEAR WEST SIDE,0.3,0.1,0.42,0.14,0.15,71,49,60,65,50,44,45,384
LOWER WEST SIDE,0.03,0.8,0.13,0.25,0.25,99,94,95,86,74,69,50,567
ARMOUR SQUARE,0.1,0.03,0.11,0.35,0.19,13,2,4,10,13,5,6,53
DOUGLAS,0.71,0.02,0.11,0.34,0.16,84,76,109,91,82,84,81,607
FULLER PARK,0.92,0.06,0.02,0.26,0.2,29,14,17,3,3,12,8,86
GRAND BOULEVARD,0.91,0.03,0.03,0.33,0.25,58,54,55,51,45,53,41,357
KENWOOD,0.68,0.04,0.17,0.15,0.18,68,85,72,49,40,47,55,416
HYDE PARK,0.3,0.07,0.47,0.1,0.15,25,35,33,24,18,32,17,184
BRIDGEPORT,0.03,0.28,0.32,0.16,0.21,53,40,49,39,37,41,38,297
GREATER GRAND CROSSING,0.96,0.01,0.01,0.35,0.26,127,144,134,130,156,147,142,980
ARCHER HEIGHTS,0.01,0.76,0.19,0.12,0.29,78,63,66,65,53,47,50,422
BRIGHTON PARK,0.02,0.85,0.06,0.25,0.31,132,119,130,107,111,144,109,852
MCKINLEY PARK,0.03,0.59,0.17,0.24,0.27,27,26,34,21,15,26,20,169
GAGE PARK,0.03,0.92,0.04,0.22,0.33,162,140,157,163,125,139,152,1038
CLEARING,0.01,0.5,0.48,0.11,0.24,56,53,45,57,65,73,56,405
CHICAGO LAWN,0.47,0.47,0.03,0.27,0.31,154,157,162,160,127,149,184,1093
ENGLEWOOD,0.95,0.03,0.01,0.42,0.28,198,167,209,177,182,167,159,1259
CHATHAM,0.97,0.01,0.01,0.22,0.22,75,58,73,73,58,69,74,480
AVALON PARK,0.97,0.01,0.01,0.18,0.18,31,32,32,53,54,88,97,387
GARFIELD RIDGE,0.04,0.47,0.47,0.05,0.23,114,103,132,104,92,123,142,810
BURNSIDE,1.0,0.0,0.0,0.29,0.24,13,10,20,29,19,19,13,123
CALUMET HEIGHTS,0.93,0.03,0.02,0.09,0.17,22,23,27,30,22,33,24,181
EAST SIDE,0.03,0.8,0.17,0.2,0.32,64,47,71,65,68,58,72,445
HEGEWISCH,0.06,0.47,0.46,0.13,0.22,28,13,18,23,25,27,26,160
ASHBURN,0.49,0.36,0.13,0.09,0.26,167,169,166,165,161,122,155,1105
AUBURN GRESHAM,0.97,0.02,0.01,0.24,0.23,117,149,147,114,110,123,134,894
BEVERLY,0.35,0.07,0.56,0.03,0.24,32,28,24,23,28,30,29,194
MOUNT GREENWOOD,0.04,0.06,0.87,0.04,0.26,22,37,29,33,30,60,33,244
MORGAN PARK,0.55,0.08,0.35,0.12,0.23,91,73,88,86,138,130,91,697
