school,pct_black,pct_low_income,district,city,county,CPS transfers,CPS transfers (maj black schools)
Thornton Township High School,0.79,0.1,Thornton Twp HSD 205,Harvey,Cook,273,187
Caroline Sibley Elem School,0.94,0.99,Dolton SD 149,Calumet City,Cook,199,156
Thornwood High School,0.83,0.08,Thornton Twp HSD 205,South Holland,Cook,223,148
Thornridge High School,0.97,0.07,Thornton Twp HSD 205,Dolton,Cook,213,139
IYC Chicago,NA,NA,,Chicago,Dept Of Corrections,205,130
Gen George Patton Elem School,0.96,0.6,Gen George Patton SD 133,Riverdale,Cook,153,127
Thornton Fractnl No High School,0.64,0.85,Thornton Fractional Twp HSD 215,Calumet City,Cook,184,116
Prairie-Hills Junior High School,0.87,0.95,Prairie-Hills ESD 144,Markham,Cook,143,113
Lincoln Elem School,0.55,0.89,Lincoln ESD 156,Calumet City,Cook,153,104
Perry Elementary School,0.4,0.92,CUSD 300,Carpentersville,Kane,133,99
Proviso East High School,0.44,0.63,Proviso Twp HSD 209,Maywood,Cook,198,94
Washington Elem School,0.99,0.93,Dolton SD 148,Riverdale,Cook,106,94
Burr Oak Elem School,0.77,0.84,Calumet Public SD 132,Calumet Park,Cook,106,91
DD Eisenhower High Sch (Campus),0.32,1.0,CHSD 218,Blue Island,Cook,163,89
Emerson Elem School,0.67,0.55,Maywood-Melrose Park-Broadview 89,Maywood,Cook,119,84
Thornton Fractnl So High School,0.65,0.66,Thornton Fractional Twp HSD 215,Lansing,Cook,145,84
Proviso West High School,0.47,0.25,Proviso Twp HSD 209,Hillside,Cook,169,81
Rich Central Campus High School,0.93,0.75,Rich Twp HSD 227,Olympia Fields,Cook,119,81
Hillcrest High School,0.89,0.56,Bremen CHSD 228,Country Club Hills,Cook,131,81
Hoover Elem School,0.73,0.77,Hoover-Schrum Memorial SD 157,Calumet City,Cook,106,75
Ellis Arts Academy,0.65,0.83,Rockford SD 205,Rockford,Winnebago,92,73
Lincoln Elementary School,0.93,0.96,Dolton SD 148,Dolton,Cook,97,73
Calumet Elem School,0.8,0.88,Calumet Public SD 132,Calumet Park,Cook,77,70
Lincoln Elementary School,0.77,0.74,Bellwood SD 88,Bellwood,Cook,92,67
Bloom Trail High School,0.58,0.75,Bloom Twp HSD 206,Chicago Heights,Cook,99,67
Illinois Youth Ctr - St Charles,NA,NA,,Saint Charles,Dept Of Corrections,135,67
Roosevelt Elem School,0.96,0.93,Dolton SD 148,Dolton,Cook,80,66
Brooks Middle School,0.7,1.0,Harvey SD 152,Harvey,Cook,83,66
Homewood-Flossmoor High School,0.69,0.23,Homewood Flossmoor CHSD 233,Flossmoor,Cook,103,66
Clearview Elem School,0.26,0.81,Waukegan CUSD 60,Waukegan,Lake,91,65
Strassburg Elem,0.75,0.59,CCSD 168,Sauk Village,Cook,84,64
Rich East Campus High School,0.89,0.85,Rich Twp HSD 227,Park Forest,Cook,103,63
Rosa L Parks Middle School,0.63,0.98,W Harvey-Dixmoor PSD 147,Dixmoor,Cook,85,62
Park Elementary School,0.95,0.98,Dolton SD 148,Riverdale,Cook,73,61
Berger-Vandenberg Elem School,0.98,1.0,Dolton SD 149,Dolton,Cook,79,61
Bryant Elem School,0.8,1.0,Harvey SD 152,Harvey,Cook,81,61
H L Richards High Sch(Campus),0.28,0.99,CHSD 218,Oak Lawn,Cook,126,61
Garfield Elem School,0.68,0.58,Maywood-Melrose Park-Broadview 89,Maywood,Cook,94,60
Riverdale School,0.98,0.94,Dolton SD 148,Riverdale,Cook,65,60
Burr Oak Academy,0.77,0.74,Calumet Public SD 132,Calumet Park,Cook,72,59
Martin L King Elem School,0.71,0.96,W Harvey-Dixmoor PSD 147,Dixmoor,Cook,73,58
Danville High School,0.37,0.65,Danville CCSD 118,Danville,Vermilion,78,58
Edison Elem School,0.42,0.72,Danville CCSD 118,Danville,Vermilion,70,58
Rich South Campus High School,0.87,0.82,Rich Twp HSD 227,Richton Park,Cook,82,56
Lincoln Elementary School,0.34,0.56,DeKalb CUSD 428,DeKalb,Dekalb,64,56
Crete-Monee High School,0.66,0.68,Crete Monee CUSD 201U,Crete,Will,97,56
Rickover Jr High School,0.77,0.54,CCSD 168,Sauk Village,Cook,83,55
Meade Park Elem School,0.55,0.93,Danville CCSD 118,Danville,Vermilion,74,55
Wagoner Elem,0.74,0.66,CCSD 168,Sauk Village,Cook,67,54
Memorial Jr High School,0.52,0.73,Lansing SD 158,Lansing,Cook,89,53
Wilson Elem School,0.64,0.98,Chicago Heights SD 170,Chicago Heights,Cook,66,53
Southwood Middle School,0.94,0.77,Country Club Hills SD 160,Country Club Hills,Cook,64,52
Zenon J Sykuta  School,0.95,0.7,Country Club Hills SD 160,Country Club Hills,Cook,70,52
Meadowview  School,0.94,0.75,Country Club Hills SD 160,Country Club Hills,Cook,66,52
Kennedy Middle School,0.6,0.72,Rockford SD 205,Rockford,Winnebago,66,51
Oak Park & River Forest High Sch,0.22,0.19,Oak Park - River Forest SD 200,Oak Park,Cook,142,51
Thurgood Marshall Elem School,0.66,1.0,Bellwood SD 88,Bellwood,Cook,68,50
Washington Junior High,0.99,0.92,Dolton SD 148,Riverdale,Cook,57,50
Diekman Elem School,0.96,0.99,Dolton SD 149,Dolton,Cook,58,50
New Beginnings Learning Academy,0.97,1.0,Dolton SD 149,South Holland,Cook,63,50
Wentworth Intermediate School,0.57,0.59,Calumet City SD 155,Calumet City,Cook,65,50
Carol Moseley Braun School,0.97,1.0,Dolton SD 149,Calumet City,Cook,71,49
Tyler Elementary School,0.34,0.65,DeKalb CUSD 428,De Kalb,Dekalb,56,49
Auburn High School,0.43,0.49,Rockford SD 205,Rockford,Winnebago,78,48
Chateaux School,0.94,0.92,Prairie-Hills ESD 144,Hazel Crest,Cook,57,48
Michelle Obama Sch of Technology and the Arts,0.85,0.88,Park Forest SD 163,Park Forest,Cook,58,48
A B Shepard High Sch (Campus),0.24,1.0,CHSD 218,Palos Heights,Cook,107,48
Colin Powell Middle Sch,0.86,0.75,ESD 159,Matteson,Cook,64,47
North Ridge Middle School,0.41,0.78,Danville CCSD 118,Danville,Vermilion,55,47
Farragut Elem School,0.41,0.98,Joliet PSD 86,Joliet,Will,73,47
Bolingbrook High School,0.27,0.59,Valley View CUSD 365U,Bolingbrook,Will,115,47
Roosevelt Middle School,0.51,0.99,Bellwood SD 88,Bellwood,Cook,74,46
Bloom High School,0.44,0.86,Bloom Twp HSD 206,Chicago Heights,Cook,90,46
Roosevelt Elem School,0.86,0.58,Maywood-Melrose Park-Broadview 89,Broadview,Cook,79,45
Mae Jemison School,0.88,0.96,Prairie-Hills ESD 144,Hazel Crest,Cook,59,45
