city,county,transfer_count
Manteno,Kankakee,8
Chicago Ridge,Cook,5
Countryside,Cook,3
DePue,Bureau,1
St Charles,Kane,12
Kingston,Dekalb,1
Lindenhurst,Lake,4
Carol Stream,Kane,4
Granite City,Madison,3
Wauconda,Lake,5
Batavia,Kane,6
Vernon Hills,Lake,16
Naperville,Dupage,64
Braidwood,Will,1
Buffalo,Sangamon,1
Bartlett,Kane,13
Robbins,Cook,1
Burnham,Cook,1
Hinsdale,Dupage,2
Norridge,Cook,120
Arlington Heights,Cook,33
Bolingbrook,Dupage,1
Cortland,Dekalb,2
Markham,Cook,2
Franklin Park,Cook,47
Rock Island,Rock Island,35
Winnetka,Cook,5
Geneseo,Henry,2
Round Lake Beach,Lake,9
Wheeling,Cook,42
Chicago,Dept Of Corrections,10
Sauk Village,Cook,5
Carbondale,Jackson,6
Lake Bluff,Lake,2
Villa Park,Dupage,20
Highwood,Lake,4
Shabbona,Dekalb,1
Aurora,State Of Illinois,1
Barrington,Lake,13
Marengo,McHenry,3
Berkeley,Cook,10
Harvey,Cook,13
Mundelein,Lake,23
DeKalb,Dekalb,22
Oak Park,Cook,47
Chatham,Sangamon,4
Moline,Rock Island,3
Hainesville,Lake,1
Clarendon Hills,Dupage,6
Bolingbrook,Will,46
Park Forest,Will,1
Clinton,Dewitt,3
Northfield,Cook,3
Plainfield,Kendall,1
Carol Stream,Dupage,14
Burr Ridge,Dupage,6
Hanover Park,Cook,10
Morris,Grundy,2
Lake in the Hills,McHenry,9
Oglesby,La Salle,3
Mendota,La Salle,1
Niles,Cook,155
Ingleside,Lake,4
Berwyn,Cook,79
Glenwood,Cook,7
Streamwood,Kane,36
Wood Dale,Dupage,5
Prospect Heights,Cook,16
Burlington,Kane,5
Palos Heights,Cook,7
Lincoln,Logan,1
Crestwood,Cook,1
Jacksonville,Morgan,2
Johnsburg,McHenry,1
Steger,Cook,7
Hawthorn Woods,Lake,6
Onarga,Iroquois,1
Pingree Grove,Kane,1
McHenry,McHenry,8
Oak Forest,Cook,5
Lincolnwood,Cook,87
Kewanee,Dept Of Corrections,5
Bourbonnais,Kankakee,5
Mc Leansboro,Hamilton,1
Brookfield,Cook,1
Wasco,Kane,1
Rantoul,Champaign,4
Mount Vernon,Jefferson,1
Aurora,Dupage,21
River Grove,Cook,35
Grayslake,Lake,14
