city,county,transfer_count
Brookfield,Cook,9
Des Plaines,Cook,49
Rolling Meadows,Cook,6
Wasco,Kane,3
Round Lake Heights,Lake,1
Rantoul,Champaign,4
North Aurora,Kane,6
Chicago Ridge,Cook,1
Rock Island,Rock Island,2
Oak Brook,Dupage,3
Round Lake Park,Lake,2
Evanston,Cook,84
Dekalb,Dekalb,4
Aurora,Dupage,10
Zion,Lake,9
Countryside,Cook,1
Beardstown,Cass,2
Kenilworth,Cook,3
Villa Park,Dupage,11
St Charles,Kane,3
Grayslake,Lake,2
Elmhurst,Dupage,23
Chicago Heights,Cook,7
Dunlap,Peoria,1
Carlinville,Macoupin,4
Manteno,Kankakee,1
Wadsworth,Lake,3
Ottawa,La Salle,1
Effingham,Effingham,1
Bushnell,McDonough,1
University Park,Will,2
La Grange,Cook,21
Wauconda,Lake,2
Park Forest,Cook,3
Addison,Dupage,6
Springfield,Sangamon,7
Big Rock,Dekalb,2
Batavia,Kane,2
Aurora,Kane,16
Shorewood,Grundy,1
Wheeling,Cook,15
Naperville,Dupage,35
Sauk Village,Cook,5
Palatine,Cook,24
Glendale Heights,Dupage,6
Northlake,Cook,29
Champaign,Champaign,2
Long Grove,Lake,3
Richton Park,Cook,1
Carpentersville,Lake,1
Bradley,Kankakee,2
Crete,Will,2
Sugar Grove,Kane,2
Bartlett,Kane,3
Robbins,Cook,1
Plainfield,Will,33
Northbrook,Cook,32
Riverside,Cook,13
Peoria,Peoria,7
La Salle,La Salle,6
Bloomington,McLean,1
La Grange Park,Cook,6
Winfield,Dupage,3
South Holland,Cook,8
Buffalo Grove,Cook,4
Arlington Heights,Cook,10
Darien,Dupage,5
Park Ridge,Cook,40
Willow Springs,Cook,1
Country Club Hills,Cook,3
Bolingbrook,Dupage,2
Downers Grove,Dupage,11
Olney,Richland,1
Westchester,Cook,12
Cortland,Dekalb,1
Bannockburn,Lake,2
Saint Charles,Dept Of Corrections,4
Palos Park,Cook,2
Hawthorn Woods,Lake,1
Markham,Cook,6
Franklin Park,Cook,21
Flossmoor,Cook,7
Hinckley,Dekalb,2
Winnetka,Cook,20
Willowbrook,Dupage,4
Huntley,McHenry,3
Highwood,Lake,2
North Riverside,Cook,2
Rockton,Winnebago,1
Round Lake Beach,Lake,5
Gilman,Iroquois,1
Northfield,Cook,17
Hinsdale,Dupage,6
Chicago,Dept Of Corrections,3
Buffalo Grove,Lake,5
Carbondale,Jackson,3
Norridge,Cook,18
Lake Bluff,Lake,2
Aurora,Kendall,1
Chicago,Cook,3
River Grove,Cook,18
Lake Villa,Lake,6
Cicero,Cook,114
Orland Park,Cook,4
Elgin,Kane,21
South Elgin,Kane,2
Barrington,Lake,9
Lake in the Hills,Kane,2
Galena,Jo Daviess,3
Carpentersville,Kane,5
Aurora,State Of Illinois,8
Justice,Cook,2
Matteson,Cook,7
Joliet,Will,14
Hanover Park,Kane,6
Marengo,McHenry,2
Lemont,Cook,1
Hickory Hills,Cook,2
Freeport,Stephenson,1
Berkeley,Cook,2
Elmwood Park,Cook,36
Wilmette,Cook,54
Highland Park,Lake,28
Algonquin,Kane,2
Melrose Park,Cook,24
Plano,Kendall,7
Palos Hills,Cook,4
Lincolnshire,Lake,6
Rockford,Winnebago,20
Calumet City,Cook,6
Harvey,Cook,12
Mundelein,Lake,13
Orland Hills,Cook,1
Orion,Henry,1
Oswego,Kendall,2
Oak Park,Cook,57
Chatham,Sangamon,1
East Saint Louis,Saint Clair,2
Lockport,Will,3
Wheaton,Dupage,15
