city,county,transfer_count
Brookfield,Cook,10
Des Plaines,Cook,122
Rolling Meadows,Cook,21
Round Lake Heights,Lake,12
Beardstown,Cass,2
Manteno,Kankakee,12
Algonquin,McHenry,5
Chicago Ridge,Cook,5
Danville,Vermilion,4
Peru,La Salle,2
Oak Brook,Dupage,2
Burnham,Cook,2
Hoffman Estates,Kane,8
Round Lake Park,Lake,4
Evanston,Cook,35
Oakbrook Terrace,Dupage,2
Dekalb,Dekalb,8
Aurora,Dupage,32
Zion,Lake,11
Bedford Park,Cook,3
Countryside,Cook,1
Minooka,Grundy,6
River Grove,Cook,92
St Charles,Kane,4
Onarga,Iroquois,1
Grayslake,Lake,4
Elmhurst,Dupage,20
Worth,Cook,3
River Forest,Cook,7
Rantoul,Champaign,2
North Aurora,Kane,7
Wadsworth,Lake,5
Ottawa,La Salle,2
Carol Stream,Kane,2
Bushnell,McDonough,1
Winthrop Harbor,Lake,1
Custer Park,Will,1
Lockport,Will,5
La Grange,Cook,6
Gilman,Iroquois,3
Wauconda,Lake,6
Park Forest,Cook,8
Springfield,Sangamon,5
Batavia,Kane,1
Aurora,Kane,52
Wheeling,Cook,31
Naperville,Dupage,30
Palatine,Cook,60
Homewood,Cook,5
Harrisburg,Dept Of Corrections,1
Glendale Heights,Dupage,36
North Barrington,Lake,2
Northlake,Cook,130
Champaign,Champaign,6
Stone Park,Cook,3
Poplar Grove,Boone,1
Island Lake,Lake,1
Crete,Will,2
Wonder Lake,McHenry,1
Gilberts,Kane,1
Pontiac,Livingston,3
Bartlett,Kane,16
Robbins,Cook,3
Plainfield,Will,44
Northbrook,Cook,13
Hinsdale,Dupage,3
Buffalo Grove,Lake,5
Lake in the Hills,McHenry,6
Oglesby,La Salle,1
Lincoln,Logan,1
Pana,Christian,1
Matteson,Cook,3
Oakwood,Vermilion,1
Posen,Cook,1
South Holland,Cook,9
Buffalo Grove,Cook,13
Arlington Heights,Cook,21
Bloomingdale,Dupage,7
Hawthorn Woods,Lake,6
Glenwood,Cook,2
Byron,Ogle,2
Summit,Cook,28
Park Ridge,Cook,37
Willow Springs,Cook,1
Country Club Hills,Cook,6
Bolingbrook,Dupage,2
Downers Grove,Dupage,11
Rockdale,Will,2
Hometown,Cook,1
Westchester,Cook,6
Cortland,Dekalb,1
Bannockburn,Lake,1
Saint Charles,Dept Of Corrections,16
Brimfield,Peoria,3
Wilmette,Cook,9
Dupo,Saint Clair,2
Donovan,Iroquois,1
Markham,Cook,6
Franklin Park,Cook,84
Flossmoor,Cook,3
Rock Island,Rock Island,11
Woodridge,Dupage,6
Willowbrook,Dupage,3
Huntley,McHenry,7
Geneseo,Henry,1
North Riverside,Cook,3
Dunlap,Peoria,2
Round Lake Beach,Lake,15
Sterling,Whiteside,1
Hampshire,Kane,4
Riverside,Cook,9
Taylorville,Christian,1
Streator,La Salle,3
Chicago,Dept Of Corrections,16
Sauk Village,Cook,4
Carbondale,Jackson,1
Norridge,Cook,125
University Park,Will,2
Montgomery,Kendall,6
Clinton,Dewitt,1
Sycamore,Dekalb,1
Bloomington,McLean,1
Calumet Park,Cook,1
Villa Park,Dupage,17
Lake Villa,Lake,20
Cicero,Cook,284
Elgin,Kane,52
South Elgin,Kane,9
Bradley,Kankakee,5
Stillman Valley,Ogle,1
Galena,Jo Daviess,2
Carpentersville,Kane,28
Yorkville,Kendall,3
Macomb,McDonough,1
Saint Charles,Kane,2
Chatham,Sangamon,1
Joliet,Will,49
Hanover Park,Kane,14
Marengo,McHenry,7
Lemont,Cook,2
Hickory Hills,Cook,11
Christopher,Franklin,6
Freeport,Stephenson,3
Barrington,Lake,4
Berkeley,Cook,15
Elmwood Park,Cook,273
La Grange Park,Cook,6
Montgomery,Kane,2
