city,county,transfer_count
Beardstown,Cass,2
Winnebago,Winnebago,3
Des Plaines,Cook,24
Rolling Meadows,Cook,10
Round Lake Heights,Lake,6
Brookfield,Cook,26
Mount Vernon,Jefferson,20
Chicago Ridge,Cook,31
Highland,Madison,1
Peru,La Salle,2
Round Lake Park,Lake,2
Evanston,Cook,32
Ford Heights,Cook,3
DePue,Bureau,2
Dekalb,Dekalb,24
Rock Falls,Whiteside,2
Zion,Lake,23
Bedford Park,Cook,8
Countryside,Cook,7
Ashton,Lee,2
Spring Valley,Bureau,1
Marion,Williamson,5
River Grove,Cook,7
Centralia,Marion,1
St Charles,Kane,6
Onarga,Iroquois,1
Murphysboro,Jackson,4
Elmhurst,Dupage,7
Worth,Cook,18
Rantoul,Champaign,7
Chatham,Sangamon,4
Lynwood,Cook,6
Schaumburg,Cook,13
Lindenhurst,Lake,1
Metropolis,Massac,2
Wadsworth,Lake,2
Phoenix,Cook,12
Effingham,Effingham,2
Wilmington,Will,3
Beecher,Will,5
Mazon,Grundy,4
Caseyville,Madison,2
University Park,Will,12
De Kalb,Dekalb,5
La Grange,Cook,18
Sterling,Whiteside,1
Mattoon,Coles,6
Wauconda,Lake,1
Park Forest,Cook,46
Springfield,Sangamon,78
Batavia,Kane,4
Aurora,Kane,112
Marshall,Clark,2
Hampshire,Kane,3
Naperville,Dupage,27
Great Lakes,Lake,3
Steger,Cook,16
Homewood,Cook,5
Melrose Park,Cook,20
Elk Grove Village,Cook,16
Gridley,Woodford,2
Braidwood,Will,2
Rochester,Sangamon,1
Skokie,Cook,9
Savoy,Champaign,2
Northlake,Cook,21
Champaign,Champaign,31
Lake in the Hills,McHenry,3
Poplar Grove,Boone,2
Crete,Will,29
Highland Park,Lake,1
Sugar Grove,Kane,2
Bartlett,Kane,6
Robbins,Cook,16
Georgetown,Vermilion,3
Plainfield,Will,94
Northbrook,Cook,1
Ullin,Pulaski,2
Riverside,Cook,11
La Salle,La Salle,13
Chicago,Cook,116
Sheridan,La Salle,1
Lincoln,Logan,1
Matteson,Cook,30
Winfield,Dupage,2
Sparta,Randolph,1
Norridge,Cook,2
South Holland,Cook,49
Buffalo Grove,Cook,7
Woodridge,Dupage,5
Calumet Park,Cook,41
Oglesby,La Salle,1
Hazel Crest,Cook,27
Darien,Dupage,28
Chatsworth,Livingston,1
Crestwood,Cook,23
Willow Springs,Cook,32
Country Club Hills,Cook,46
Bolingbrook,Dupage,1
Dolton,Cook,112
Olney,Richland,1
Rockdale,Will,2
Hometown,Cook,10
Westchester,Cook,3
Aurora,Kendall,6
Saint Charles,Dept Of Corrections,34
Aurora,Dupage,16
Watseka,Iroquois,2
Roscoe,Winnebago,1
Markham,Cook,37
Franklin Park,Cook,12
Flossmoor,Cook,15
Rock Island,Rock Island,18
Mount Carroll,Carroll,1
Willowbrook,Dupage,12
Huntley,McHenry,1
North Riverside,Cook,8
Libertyville,Lake,2
Round Lake Beach,Lake,3
Park Forest,Will,5
Wheeling,Cook,13
Thornton,Cook,7
Hinsdale,Dupage,1
Taylorville,Christian,1
Streator,La Salle,3
Chicago,Dept Of Corrections,33
Sauk Village,Cook,41
Carbondale,Jackson,12
Posen,Cook,34
Joliet,Grundy,3
Montgomery,Kendall,1
North Aurora,Kane,7
Durand,Winnebago,2
Sycamore,Dekalb,3
Bloomington,McLean,31
Villa Park,Dupage,5
Lake Villa,Lake,9
Cicero,Cook,398
Shabbona,Dekalb,3
Elgin,Kane,68
South Elgin,Kane,8
Bradley,Kankakee,9
Gilman,Iroquois,1
Silvis,Rock Island,5
Plainfield,Kendall,1
Carpentersville,Kane,71
Yorkville,Kendall,9
Macomb,McDonough,5
Saint Charles,Kane,2
Joppa,Massac,1
Joliet,Will,207
Hanover Park,Kane,8
Marengo,McHenry,1
Lemont,Cook,7
Hickory Hills,Cook,43
Freeport,Stephenson,29
Ladd,Bureau,1
Barrington,Lake,3
Berkeley,Cook,2
Forrest,Livingston,1
Elmwood Park,Cook,14
La Grange Park,Cook,15
Montgomery,Kane,2
Richton Park,Cook,15
Algonquin,Kane,2
Peoria,Peoria,33
Plano,Kendall,2
Palos Hills,Cook,42
Granite City,Madison,1
Rockford,Winnebago,148
Calumet City,Cook,137
Harvey,Cook,132
North Chicago,Lake,20
Seneca,La Salle,1
Orion,Henry,1
Oswego,Kendall,16
Oak Park,Cook,23
Mulberry Grove,Bond,1
Chicago Heights,Cook,86
East Saint Louis,Saint Clair,2
Lockport,Will,25
Addison,Dupage,37
Oak Lawn,Cook,203
Newark,Kendall,1
