school,black_students,total_students,pct_black,2010,2011,2012,2013,2014,2015,2016,2017
Fenger Academy High School,224,226,0.9911504424778761,21,8,15,2,6,2,5,3
Harlan Community Academy HS,470,474,0.9915611814345991,31,25,13,9,9,13,7,9
Harper High School,157,165,0.9515151515151515,17,0,1,4,1,1,0,2
Hirsch Metropolitan High School,141,145,0.9724137931034482,7,6,18,6,3,1,2,8
Hyde Park Academy High School,710,724,0.9806629834254144,23,17,9,17,9,15,7,10
Kenwood Academy High School,1505,1775,0.847887323943662,8,20,12,16,3,10,8,11
Marshall Metropolitan High School,351,359,0.9777158774373259,19,7,4,2,6,6,5,5
Morgan Park High School,1370,1408,0.9730113636363636,17,15,12,9,24,16,12,24
Phillips Academy High School,520,528,0.9848484848484849,14,17,14,12,20,19,26,11
King College Prep High School,598,638,0.9373040752351097,1,7,3,1,2,2,5,6
Urban Prep Chtr Acad Englewood HS,320,324,0.9876543209876543,2,1,9,4,2,8,3,9
Urban Prep Chtr Acad Bronzeville HS,356,365,0.9753424657534246,0,3,3,3,3,5,5,10
Urban Prep Chtr Acad West Campus HS,270,273,0.989010989010989,0,0,3,3,2,1,4,2
Legal Prep Academy Charter HS,301,304,0.9901315789473685,0,0,0,2,4,3,3,13
Chicago Vocational Career Acad HS,877,903,0.9712070874861573,17,9,10,13,15,16,14,13
Dunbar Vocational Career Acad HS,540,554,0.9747292418772563,11,15,13,8,5,12,7,3
Simeon Career Academy High School,1299,1319,0.9848369977255497,6,11,9,7,7,9,6,25
Corliss High School,365,368,0.9918478260869565,36,6,8,9,7,3,7,8
Manley Career Academy High School,163,170,0.9588235294117647,18,16,11,10,10,5,2,3
Julian High School,619,625,0.9904,20,22,10,10,27,6,15,7
Robeson High School,142,146,0.9726027397260274,33,8,20,8,2,3,1,5
Brooks College Prep Academy HS,751,915,0.8207650273224044,5,2,4,0,6,0,3,4
Hope College Prep High School,116,137,0.8467153284671532,8,5,3,4,3,3,4,5
Raby High School,386,415,0.9301204819277108,3,2,2,1,4,4,7,5
Clark Acad Prep Magnet High Schl,526,540,0.9740740740740741,17,17,3,4,2,4,2,6
Uplift Community High School,245,299,0.8193979933110368,2,6,8,2,6,6,2,6
Douglass Academy High School,160,167,0.9580838323353293,23,12,12,2,5,2,4,4
Bronzeville Scholastic HS,363,372,0.9758064516129032,3,5,4,8,2,2,6,4
Collins Academy High School,287,289,0.9930795847750865,5,5,2,3,4,4,0,4
Team Englewood Comm Acad HS,159,160,0.99375,2,4,4,4,5,2,0,0
Austin College and Career Academy High School,289,300,0.9633333333333334,5,3,6,4,3,1,3,8
Orr Academy High School,315,382,0.824607329842932,16,15,7,1,10,6,7,9
Williams Medical Prep High Sch,229,234,0.9786324786324786,2,2,3,1,1,0,2,6
South Shore Intl Col Prep HS,563,591,0.9526226734348562,0,0,6,4,2,4,2,4
Chicago Excel Academy HS,236,246,0.959349593495935,0,0,0,0,2,1,1,1
Walter Henri Dyett High School for the Arts,137,140,0.9785714285714285,0,0,0,0,0,0,0,0
Jackson M Elem School,305,311,0.9807073954983923,1,8,5,18,10,10,9,10
Green  W Elem School,365,372,0.9811827956989247,11,6,3,8,4,10,8,4
Aldridge Elem School,162,164,0.9878048780487805,5,10,6,4,4,13,3,5
Avalon Park Elem School,291,296,0.9831081081081081,9,9,10,11,6,15,3,11
Barnard Elem Comp Math & Sci Ctr,306,315,0.9714285714285714,8,6,8,10,12,4,8,24
Barton Elem School,416,429,0.9696969696969697,6,16,12,16,20,7,8,13
Bass Elem School,429,438,0.9794520547945206,7,11,7,3,10,6,5,8
Nicholson Technology Acad Elem Sch,496,514,0.9649805447470817,11,17,18,14,14,17,10,20
Beethoven Elem School,392,401,0.9775561097256857,2,5,4,5,9,10,11,13
Beidler Elem School,455,475,0.9578947368421052,9,4,3,9,8,8,5,17
Bennett Elem School,317,323,0.9814241486068112,14,13,11,11,11,0,9,14
Black Magnet Elem School,435,439,0.9908883826879271,3,5,2,7,4,4,4,0
Bond Elem School,307,315,0.9746031746031746,5,1,3,9,6,9,9,15
Bradwell Comm Arts & Sci Elem Sch,598,613,0.9755301794453507,21,33,25,19,23,30,23,47
Haley Elem Academy,558,571,0.9772329246935202,15,13,14,15,14,12,9,20
Brown  W Elem School,259,284,0.9119718309859155,3,2,4,6,9,0,7,6
Brownell Elem School,203,208,0.9759615384615384,4,7,8,7,3,1,7,0
Bouchet Elem Math & Science Acad,586,596,0.9832214765100671,19,16,29,16,12,14,18,29
Burke Elem School,418,429,0.9743589743589743,2,3,7,8,10,20,13,14
